code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
A95,otherDiagnosis,A.7,Perinatal mortality,围产期死亡率,Perinatal mortality,围产期死亡率,,,,,death in utero or within 7 days of birth,宫内死亡或出生后7天内死亡,,,,,P95.0; R95; R95.9
A96,otherDiagnosis,A.7,Death,死亡,Death,死亡,,,perinatal death ,围产期死亡,,,,,,,O95; O97.0; O97.1; O97.9; R95.0; R95.9; R96.0; R96.1; R98; R99
A97,otherDiagnosis,A.7,No disease,无疾病,No disease,无疾病,no illness/disease dealt with at encounter,本次就诊未处理任何疾病,health maintenance/preventive medicine ,保健/预防医学,,,,,"Sometimes a patient has a reason for encounter which the family doctor cannot interpret as a diagnosis or symptom within the domain of family practice. In these cases the FP/GP will use the code A97, indicating that the patient's reason for encounter refers to something the FP/GP cannot professionally respond to, except by explaining that this is the case.",有时患者就诊的原因家庭医生无法解释为家庭医学领域的诊断或症状。在这种情况下，全科医生将使用代码A97，表示患者的就诊原因是全科医生无法专业回应的情况，除了说明这一情况之外。,Z00.0; Z00.1; Z00.2; Z00.3; Z00.4; Z00.5; Z00.6; Z00.8; Z02.0; Z02.1; Z02.2; Z02.3; Z02.4; Z02.5; Z02.6; Z02.7; Z02.8; Z02.9
A98,otherDiagnosis,A.7,Health maintenance/preventive medicine,保健/预防医学,Health maint/preventive medicine,保健/预防医学,"medical procedure/counselling with a preventive purpose, including genetic counseling",具有预防目的的医疗咨询/程序，包括遗传咨询,no disease ,无疾病,,,,,,,Z01.0; Z01.1; Z01.2; Z01.3; Z01.4; Z01.5; Z01.6; Z01.7; Z01.8; Z01.9; Z10.0; Z10.1; Z10.2; Z10.3; Z10.8; Z11.0; Z11.1; Z11.2; Z11.3; Z11.4; Z11.5; Z11.6; Z11.8; Z11.9; Z12.0; Z12.1; Z12.2; Z12.3; Z12.4; Z12.5; Z12.6; Z12.8; Z12.9; Z13.0; Z13.1; Z13.2; Z13.3; Z13.4; Z13.5; Z13.6; Z13.7; Z13.8; Z13.9; Z23.0; Z23.1; Z23.2; Z23.3; Z23.4; Z23.5; Z23.6; Z23.7; Z23.8; Z24.0; Z24.1; Z24.2; Z24.3; Z24.4; Z24.5; Z24.6; Z25.0; Z25.1; Z25.8; Z26.0; Z26.8; Z26.9; Z27.0; Z27.1; Z27.2; Z27.3; Z27.4; Z27.8; Z27.9; Z29.0; Z29.1; Z29.2; Z29.8; Z29.9; Z31.5; Z40.0; Z40.8; Z40.9; Z70.0; Z70.1; Z70.2; Z70.3; Z70.8; Z70.9
A99,otherDiagnosis,A.7,Disease/condition of unspecified nature/site,性质/部位不明的疾病/状况,Disease/condition unspecnature/site,疾病/情况未特指部位,disease carrier NOS; surveillance of ongoing problem NOS,疾病携带者 NOS；持续问题监测 NOS,,,,,,,,,D15.7; D15.9; D19.7; D19.9; D36.7; D36.9; D48.9; R57.8; R57.9; R69; Z03.0; Z03.1; Z03.2; Z03.3; Z03.4; Z03.5; Z03.6; Z03.8; Z03.9; Z04.0; Z04.1; Z04.2; Z04.3; Z04.4; Z04.5; Z04.6; Z04.8; Z04.9; Z08.0; Z08.1; Z08.2; Z08.7; Z08.8; Z08.9; Z09.0; Z09.1; Z09.2; Z09.3; Z09.4; Z09.7; Z09.8; Z09.9; Z22.0; Z22.1; Z22.2; Z22.3; Z22.4; Z22.6; Z22.8; Z22.9; Z41.0; Z41.1; Z41.3; Z41.8; Z41.9; Z42.0; Z42.1; Z42.2; Z42.3; Z42.4; Z42.8; Z42.9; Z47.0; Z47.8; Z47.9; Z48.0; Z48.8; Z48.9; Z49.0; Z49.1; Z49.2; Z50.0; Z50.1; Z50.2; Z50.3; Z50.4; Z50.5; Z50.6; Z50.7; Z50.8; Z50.9; Z51.0; Z51.1; Z51.2; Z51.3; Z51.4; Z51.5; Z51.6; Z51.8; Z51.9; Z52.0; Z52.1; Z52.2; Z52.3; Z52.4; Z52.5; Z52.6; Z52.7; Z52.8; Z52.9; Z53.0; Z53.1; Z53.2; Z53.8; Z53.9; Z54.0; Z54.1; Z54.2; Z54.3; Z54.4; Z54.7; Z54.8; Z54.9; Z71.0; Z71.2; Z71.3; Z71.4; Z71.5; Z71.6; Z71.7; Z71.8; Z71.9; Z76.0; Z76.1; Z76.2; Z76.3; Z76.4; Z76.8; Z76.9; Z90.0; Z90.8; Z98.8
B02,symptom,B.1,Lymph gland(s) enlarged/painful,淋巴结肿大/疼痛,Lymph gland(s) enlarged/painful,淋巴结肿大/疼痛,lymphadenopathy with/without pain/tenderness; other symptom/complaint lymph gland(s),淋巴结病伴或不伴有疼痛/触痛；其他症状/主诉的淋巴结（腺）,acute lymphadenitis ,急性淋巴结炎,,,,,,,R59.0; R59.1; R59.9
B04,symptom,B.1,Blood symptom/complaint,血液症状/主诉,Blood symptom/complaint,血液症状/主诉,,,anaemia ,贫血,,,,,,,R68.8
B25,symptom,B.1,Fear of AIDS/HIV,艾滋病/人类免疫缺陷病毒恐惧症,Fear of AIDS/HIV,艾滋病/人类免疫缺陷病毒恐惧症,,,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of AIDS/HIV in a patient without the disease/until the diagnosis is proven,无艾滋病/ HIV的患者对艾滋病/ HIV的担忧/恐惧直至诊断证实为止,,,,,Z71.1
B26,symptom,B.1,Fear of cancer blood/lymph,癌症血液/淋巴恐惧症,Fear cancer blood/lymph,恐癌血/淋巴,,,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of blood/lymph cancer in a patient without the disease/until the diagnosis is proven,无病状态下的血液/淋巴癌症担忧/恐惧直至诊断证实为止,,,,,Z71.1
B27,symptom,B.1,Fear of blood/lymph disease other,其他血液/淋巴疾病恐惧症,Fear blood/lymph disease other,其他恐惧的血液/淋巴疾病,,,fear of cancer blood/lymph ,癌症恐血/恐淋巴,concern about/fear of other blood/lymph disease in a patient without the disease/until the diagnosis is proven,无病状态下的其他血液/淋巴系统疾病的担忧/恐惧/直到诊断证实为止,,,,,Z71.1
B28,symptom,B.1,Limited function/disability (B),有限功能/残疾 (B),Limited function/disability (B),有限功能/残疾 (B),disability due to bleeding disorders,出血性疾病所致残疾,,,limitation of function/disability due to a problem of blood/blood forming organs/immune mechanism,血液及造血器官或免疫机制异常所致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6
B29,symptom,B.1,Lymph/immune mechanism symptom/complaint other,淋巴/免疫机制症状/主诉其他,Lymph/immune mech sympt/complt other,淋巴/免疫机制症状/并发症其他,,,splenomegaly ,脾大,,,,,,,R68.8
B70,infection,B.7,Lymphadenitis acute,急性淋巴结炎,Lymphadenitis acute,急性淋巴结炎,abscess of lymph node,淋巴结脓肿,chronic/non-specific/mesenteric lymphadenitis ,慢性/非特异性/肠系膜淋巴结炎,"one/more inflamed/enlarged and tender/painful lymph nodes in the same anatomical location, of recent onset (less than 6 weeks) and with unknown primary source of infection",近期（少于6周）在同一解剖位置出现一个或多个红肿、触痛的淋巴结，且感染原发灶不明,enlarged lymph node ,肿大的淋巴结,,,L04.0; L04.1; L04.2; L04.3; L04.8; L04.9
B71,infection,B.7,Lymphadenitis chronic/non-specific,慢性/非特异性淋巴结炎,Lymphadenitis chronic/non-specific,慢性/非特异性淋巴结炎,mesenteric lymphadenitis,肠系膜淋巴结炎,acute lymphadenitis ,急性淋巴结炎,enlarged tender lymph nodes present for more than 6 weeks; or demonstration of enlarged inflamed mesenteric lymph nodes by surgery/sonography/lymphography/otherwise,肿大的触痛淋巴结持续存在超过6周；或通过手术、超声、淋巴造影或其他方式显示肿大的肠系膜炎性淋巴结,enlarged lymph node ,肿大的淋巴结,,,I88.0; I88.1; I88.8; I88.9
B72,neoplasm,B.7,Hodgkin Lymphoma,霍奇金淋巴瘤,Hodgkin Lymphoma,霍奇金淋巴瘤,,,,,characteristic histologic appearance,特征性组织学表现,other malignant neoplasm blood/lymph ,其他恶性血液和淋巴肿瘤,,,C81.0; C81.1; C81.2; C81.3; C81.7; C81.9; C82.0; C82.1; C82.2; C82.7; C82.9; C83.0; C83.1; C83.3; C83.5; C83.7; C83.8; C83.9; C84.0; C84.1; C84.4; C84.5; C85.1; C85.7; C85.9; C86.0; C86.1; C86.2; C86.3; C86.4; C86.5; C86.6
B73,neoplasm,B.7,Leukaemia,白血病,Leukaemia,白血病,all types of leukaemia,各类白血病,,,characteristic histologic appearance,特征性组织学表现,benign/unspecified neoplasm blood/lymph ,良性/不明 specify 的血液/淋巴肿瘤,,,C91.0; C91.1; C91.3; C91.4; C91.5; C91.6; C91.7; C91.8; C91.9; C92.0; C92.1; C92.2; C92.3; C92.4; C92.5; C92.6; C92.7; C92.8; C92.9; C93.0; C93.1; C93.3; C93.7; C93.9; C94.0; C94.2; C94.3; C94.4; C94.7; C95.0; C95.1; C95.7; C95.9
B74,neoplasm,B.7,Malignant neoplasm blood other,恶性血液病其他部位肿瘤,Malignant neoplasm blood other,恶性血液病其他部位肿瘤,multiple myeloma; myeloproliferative disease,多发性骨髓瘤；髓系增生性疾病,Hodgkin's disease/lymphoma ,霍奇金病/淋巴瘤,,,,,,,C26.1; C37; C46.3; C77.0; C77.1; C77.2; C77.3; C77.4; C77.5; C77.8; C77.9; C88.0; C88.2; C88.3; C88.4; C88.7; C88.9; C90.0; C90.1; C90.2; C90.3; C94.6; C96.0; C96.2; C96.4; C96.5; C96.6; C96.7; C96.8; C96.9
B75,neoplasm,B.7,Neoplasm blood benign/unspecified,良性/未特指的血液系统肿瘤,Neoplasm blood benign/unspecified,良性/未特指的血液系统肿瘤,benign neoplasm blood; neoplasm blood not specified as benign or malignant/when test is not available; polycythaemia rubra vera,良性血肿；未指明为良性的或恶性的血肿/当检测不可用时；真性红细胞增多症,,,,,,,,,D15.0; D36.0; D45; D47.0; D47.1; D47.2; D47.3; D47.4; D47.5; D47.7; D47.9
B76,injury,B.7,Ruptured spleen traumatic,创伤性脾破裂,Ruptured spleen traumatic,创伤性脾破裂,,,,,,,,,,,S36.0
B77,injury,B.7,Injury blood/lymph/spleen other,其他损伤-血液/淋巴/脾脏,Injury blood/lymph/spleen other,其他损伤-血液/淋巴/脾脏,,,ruptured spleen traumatic ,创伤性脾破裂,,,,,,,T11.4; T13.4; T14.9;
B78,congenital,B.7,Hereditary haemolytic anaemia,遗传性溶血性贫血,Hereditary haemolytic anaemia,遗传性溶血性贫血,sickle cell trait; sickle-cell anaemia; spherocytosis; thalassaemia,镰状细胞特征；镰状细胞性贫血；球形红细胞性贫血；地中海性贫血,,,"characteristic findings by test such as haemoglobin electrophoresis, blood smear, or increased osmotic fragility of red cells",特征性检查发现，如血红蛋白电泳、血涂片或红细胞渗透脆性增加,other congenital anomaly blood/lymph ,其他先天性异常 血液/淋巴,,,D56.0; D56.1; D56.2; D56.3; D56.4; D56.8; D56.9; D57.0; D57.1; D57.2; D57.3; D57.8; D58.0; D58.1; D58.2; D58.8; D58.9
B79,congenital,B.7,Congenital anomaly blood/lymph other,先天性异常 血液/淋巴 其他,Congen anomaly blood/lymph other,先天性血液/淋巴其他异常,congenital anaemia,先天性贫血,hereditary haemolytic anaemia ,遗传性溶血性贫血,,,,,,,D61.0; D64.0; D64.4; Q89.0; Q89.8
B80,otherDiagnosis,B.7,Iron deficiency anaemia,缺铁性贫血,Iron deficiency anaemia,缺铁性贫血,anaemia due to blood loss,失血性贫血,iron deficiency without anaemia ,缺铁但无贫血,"decrease in haemoglobin or haematocrit below levels appropriate for age and sex; plus evidence of blood loss, or microcytic hypochromic red cells by appearance or indices in the absence of thalassaemia, or decreased serum iron and increased iron-binding capacity, or decreased serum ferritin, or reduced haemosiderin in bone marrow, or good response to iron administration",血红蛋白或血细胞比容低于相应年龄和性别的正常水平；伴有出血证据，或在非地中海贫血情况下出现微细低色素性红细胞（形态或指标），或血清铁降低且铁结合力升高，或血清 ferritin 水平下降，或骨髓中铁粒幼红细胞减少，或对铁剂治疗反应良好,other/unspecified anaemia ,其他/未特指的贫血,,,D50.0; D50.1; D50.8; D50.9
B81,otherDiagnosis,B.7,Anaemia vit B12/folate deficiency,维生素B12/叶酸缺乏性贫血,Anaemia vit B12/folate deficiency,维生素B12/叶酸缺乏性贫血,macrocytic anaemia; pernicious anaemia,巨幼细胞性贫血；恶性贫血,vit B12 deficiency without anaemia ,维生素B12缺乏无贫血,macrocytic anaemia by smear/indices plus decreased vitamin B12/folate level/positive Schilling test,巨幼细胞性贫血伴血涂片/指数异常，维生素B12/叶酸水平降低及Schilling试验阳性,,,,,D51.0; D51.1; D51.2; D51.3; D51.8; D51.9; D52.0; D52.1; D52.8; D52.9
B82,otherDiagnosis,B.7,Anaemia other/unspecified,贫血，其他/未特指,Anaemia other/unspecified,贫血，其他/未特指,acquired haemolytic anaemia; aplastic anaemia; blood autoimmune disease; megaloblastic anaemia NOS; protein deficiency anaemia,获得性溶血性贫血；再生障碍性贫血；自身免疫性血液疾病；巨幼细胞性贫血NOS；蛋白缺乏性贫血,iron deficiency anaemia ,缺铁性贫血,,,,,,,D46.0; D46.1; D46.2; D46.4; D46.5; D46.6; D46.7; D46.9; D53.0; D53.1; D53.2; D53.8; D53.9; D55.0; D55.1; D55.2; D55.3; D55.8; D55.9; D59.0; D59.1; D59.2; D59.3; D59.4; D59.5; D59.6; D59.8; D59.9; D60.0; D60.1; D60.8; D60.9; D61.3; D61.8; D61.9; D62; D63.0; D63.8; D64.1; D64.3; D64.8; D64.9
B83,otherDiagnosis,B.7,Purpura/coagulation defect,紫癜/凝血缺陷,Purpura/coagulation defect,紫癜/凝血缺陷,abnormal platelets; haemophilia; thrombocytopenia,异常血小板；血友病；血小板减少症,,,,,,,,,D65; D66; D67; D68.0; D68.1; D68.2; D68.3; D68.4; D68.5; D68.6; D68.8; D68.9; D69.0; D69.1; D69.2; D69.3; D69.4; D69.5; D69.6; D69.8; D69.9
B84,otherDiagnosis,B.7,Unexplained abnormal white cells,原因不明的异常白细胞,Unexplained abnormal white cells,原因不明的异常白细胞,persistent or unexplained neutrophilia; unexplained agranulocytosis; unexplained eosinophilia; unexplained leukocytosis; unexplained lymphocytosis; unexplained neutropenia,持续性或原因不明的中性粒细胞增多；原因不明的中性粒细胞减少症；原因不明的嗜酸性粒细胞增多；原因不明的白细胞增多；原因不明的淋巴细胞增多；原因不明的中性粒细胞缺乏,leukaemia ,白血病,,,,,,,D70; D71; D72.0; D72.1; D72.8; D72.9; R72
B87,otherDiagnosis,B.7,Splenomegaly,脾大,Splenomegaly,脾大,,,hypersplenism ,"hypersplenism  

中文翻译：脾功能亢进",,,,,,,R16.1; R16.2
B90,otherDiagnosis,B.7,HIV-infection/AIDS,人类免疫缺陷病毒感染/获得性免疫缺陷综合征,HIV-infection/AIDS,人类免疫缺陷病毒感染/获得性免疫缺陷综合征,,,,,HIV-infection proven in serological test in a patient with/without symptoms,血清学检查证实的 HIV 感染（有/无症状）,,,,,B20.0; B20.1; B20.2; B20.3; B20.4; B20.5; B20.6; B20.7; B20.8; B20.9; B21.0; B21.1; B21.2; B21.3; B21.7; B21.8; B21.9; B22.0; B22.1; B22.2; B22.7; B23.0; B23.1; B23.2; B23.8; B24; R75; Z21
B99,otherDiagnosis,B.7,Blood/lymph/spleen disease other,血液/淋巴/脾脏疾病其他,Blood/lymph/spleen disease other,血液/淋巴/脾脏疾病其他,complement defect; hypersplenism; immunodeficiency disorder; other/unspecified haematological abnormality; raised ESR; red cell abnormality; sarcoidosis; secondary polycythaemia,补体缺陷；脾功能亢进；免疫缺陷病；其他/未特指的血液异常；血沉加快；红细胞异常；肉芽肿性疾病（或结节病）；继发性红细胞增多症,lymphadenitis acute ,急性淋巴结炎,,,,,,,D73.0; D73.1; D73.2; D73.3; D73.4; D73.5; D73.8; D73.9; D74.0; D74.8; D74.9; D75.0; D75.1; D75.8; D75.9; D76.1; D76.2; D76.3; D77; D80.0; D80.1; D80.2; D80.3; D80.4; D80.5; D80.6; D80.7; D80.8; D80.9; D81.0; D81.1; D81.2; D81.3; D81.4; D81.5; D81.6; D81.7; D81.8; D81.9; D82.0; D82.1; D82.2; D82.3; D82.4; D82.8; D82.9; D83.0; D83.1; D83.2; D83.8; D83.9; D84.0; D84.1; D84.8; D84.9; D86.0; D86.1; D86.2; D86.3; D86.8; D86.9; D89.0; D89.1; D89.2; D89.3; D89.8; D89.9; I89.1; I89.8; I89.9; R70.0; R70.1; R71
D01,symptom,D.1,Abdominal pain/cramps general,腹部疼痛/绞痛一般性,Abdominal pain/cramps general,腹部疼痛/绞痛一般性,abdominal colic; abdominal cramps/discomfort/pain NOS; infant colic,腹部绞痛；腹部不适/疼痛 NOS；婴儿肠绞痛,epigastric ache ,上腹痛,,,,,,,R10.0; R10.4
D02,symptom,D.1,Abdominal pain epigastric,上腹痛,Abdominal pain epigastric,上腹痛,epigastric discomfort; fullness; stomach ache/pain,上腹不适；饱胀感；胃痛,dyspepsia/indigestion ,消化不良,,,,,,,R10.1
D03,symptom,D.1,Heartburn,胃灼热,Heartburn,胃灼热,acidity; waterbrash,酸性；反酸水,epigastric pain ,上腹痛,,,,,,,R12
D04,symptom,D.1,Rectal/anal pain,肛门/直肠疼痛,Rectal/anal pain,肛门/直肠疼痛,anal spasm; proctalgia fugax,肛门痉挛；突发性会阴痛,impacted faeces ,嵌顿粪便,,,,,,,K59.4; R10.2; R10.3
D05,symptom,D.1,Perianal itching,肛周瘙痒,Perianal itching,肛周瘙痒,perianal pruritus,肛周瘙痒症,pruritus vulvae ,外阴瘙痒,,,,,,,L29.0; L29.3
D06,symptom,D.1,Abdominal pain localized other,局限性腹痛其他部位,Abdominal pain localized other,局限性腹痛其他部位,colonic pain,结肠痛,generalized abdominal pain ,全身性腹痛,,,,,,,R10.1; R10.2; R10.3
D07,symptom,D.1,Dyspepsia/indigestion,消化不良,Dyspepsia/indigestion,消化不良,,,epigastric pain ,上腹痛,Chronic or recurrent pain or discomfort centered in the upper abdomen,慢性或反复发作的上腹痛或不适感,,,,,K30
D08,symptom,D.1,Flatulence/gas/belching,肠胀气/气体/打嗝,Flatulence/gas/belching,肠胀气/气体/打嗝,bloating; eructation; gas pains; gaseous distension; passing wind,胀气；打嗝；排气痛；气体膨胀；放屁,dyspepsia/indigestion ,消化不良,,,,,,,R14
D09,symptom,D.1,Nausea,恶心,Nausea,恶心,,,feelings of over-eating ,进食过度感,,,,,code for nausea and vomiting as a diagnosis: ,恶心和呕吐的诊断编码:,R11
D10,symptom,D.1,Vomiting,呕吐,Vomiting,呕吐,emesis; hyperemesis; retching,呕吐；恶阻；干呕,haematemesis ,呕血,,,,,code for diarrhoea and vomiting as a diagnosis: ,腹泻和呕吐的诊断编码:,F50.5; R11
D11,symptom,D.1,Diarrhoea,腹泻,Diarrhoea,腹泻,frequent/loose bowel movements; watery stools,频繁/稀便；水样便,melaena ,黑便,,,,,,,K52.9; K59.1
D12,symptom,D.1,Constipation,便秘,Constipation,便秘,faecal impaction,粪便嵌塞,ileus ,"肠梗阻（注意，""ileus""通常指代功能性肠梗阻，即非机械性的肠梗阻状态）",,,,,,,K56.4; K59.0
D13,symptom,D.1,Jaundice,黄疸,Jaundice,黄疸,icterus,黄疸,,,,,,,,,R17
D14,symptom,D.1,Haematemesis/vomiting blood,呕血,Haematemesis/vomiting blood,呕血,,,haemoptysis ,咯血,,,,,,,K92.0
D15,symptom,D.1,Melaena,黑便,Melaena,黑便,black/tarry stools,黑便,fresh blood in stool ,鲜血便,,,,,,,K92.1
D16,symptom,D.1,Rectal bleeding,直肠出血,Rectal bleeding,直肠出血,fresh blood in stool,鲜血便,occult blood in faeces ,潜血便,,,,,,,K62.5
D17,symptom,D.1,Incontinence of bowel,大便失禁,Incontinence of bowel,大便失禁,faecal incontinence,粪失禁,encopresis ,遗粪症,,,,,,,R15
D18,symptom,D.1,Change in faeces/bowel movements,粪便/排便改变,Change in faeces/bowel movements,粪便/排便改变,,,occult blood ,隐血,,,,,,,R19.4; R19.5
D19,symptom,D.1,Teeth/gum symptom/complaint,牙齿/牙龈症状/主诉,Teeth/gum symptom/complaint,牙齿/牙龈症状/主诉,denture problem; gingival bleeding; teething; toothache,假牙问题；牙龈出血；长牙；牙痛,caries ,龋病,,,,,,,K00.7; K03.6; K03.7; K08.8
D20,symptom,D.1,Mouth/tongue/lip symptom/complaint,口腔/舌/唇症状/主诉,Mouth/tongue/lip symptom/complaint,口腔/舌/唇症状/主诉,bad breath; coated tongue; cracked lips; dribbling; dry mouth; halitosis; sore mouth; swollen lips,口臭；舌苔厚；唇裂；流涎；口干；口气病；口腔疼痛；肿胀的嘴唇,dental/gum problem ,牙/龈问题,,,,,,,K13.1; K13.7; K14.1; K14.2; K14.5; K14.6; R19.6; R68.2
D21,symptom,D.1,Swallowing problem,吞咽困难,Swallowing problem,吞咽困难,choking feeling; dysphagia,哽塞感；吞咽困难,,,,,,,,,R13
D23,symptom,D.1,Hepatomegaly,肝肿大,Hepatomegaly,肝肿大,,,,,,,,,,,R16.0; R16.2
D24,symptom,D.1,Abdominal mass NOS,腹部肿物 NOS,Abdominal mass NOS,腹部肿物 NOS,lump abdomen,膨隆腹,splenomegaly ,脾大,,,,,,,R19.0
D25,symptom,D.1,Abdominal distension,腹部膨隆,Abdominal distension,腹部膨隆,abdominal swelling without mass,腹部肿胀无肿块,flatulence/gas/belching ,肠胀气/气体/打嗝,,,,,,,R19.0
D26,symptom,D.1,Fear of cancer of digestive system,消化系统癌症恐惧症,Fear of cancer of digestive system,消化系统癌症恐惧症,,,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of cancer of digestive system in a patient without the disease/until the diagnosis is proven,消化系统癌症担忧/恐惧（于未确诊患者）,,,,,Z71.1
D27,symptom,D.1,Fear of digestive disease other,其他消化系统疾病恐惧症,Fear of digestive disease other,其他消化系统疾病恐惧症,,,fear of cancer of digestive system ,消化系统癌症恐惧症,concern about/fear of other digestive disease in a patient without the disease/until the diagnosis is proven,疑有/恐患其他消化系统疾病（患者无病时/直至诊断证实前）,,,,,Z71.1
D28,symptom,D.1,Limited function/disability (D),有限功能/残疾 (D),Limited function/disability (D),有限功能/残疾 (D),,,colostomy/gastrostomy ,结肠造口/胃造口,limitation of function/disability due to a digestive problem,由于消化系统问题导致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6
D29,symptom,D.1,Digestive symptom/complaint other,消化系统其他症状/主诉,Digestive symptom/complaint other,消化系统其他症状/主诉,ascites; teeth grinding,腹水；磨牙症,,,,,,,,,K03.8; R18; R19.1; R19.2; R19.3; R19.8
D70,infection,D.7,Gastrointestinal infection,胃肠感染,Gastrointestinal infection,胃肠感染,"gastrointestinal infection/dysentery with specified organisms including campylobacter, giardia, salmonella, shigella, typhoid, cholera",胃肠感染/肠炎，包括指定病原体：空肠弯曲菌、蓝氏贾第鞭毛虫、沙门氏菌、志贺菌、伤寒、霍乱,contact with/carrier of infective/parasitic disease ,接触者/携带者-传染性/寄生虫性疾病,"a symptomatic patient with isolation or serological evidence of pathogenic bacteria, virus, or protozoan from either the stool or from food ingested",无症状患者，伴有隔离或血清学证据表明病原细菌、病毒或原生动物来自粪便或摄入的食物,gastroenteritis presumed infection ,拟诊感染性胃肠炎,,,A00.0; A00.1; A00.9; A01.0; A01.1; A01.2; A01.3; A01.4; A02.0; A02.1; A02.2; A02.8; A02.9; A03.0; A03.1; A03.2; A03.3; A03.8; A03.9; A04.0; A04.1; A04.2; A04.3; A04.4; A04.5; A04.6; A04.7; A04.8; A04.9; A05.0; A05.1; A05.2; A05.3; A05.4; A05.8; A05.9; A06.0; A06.1; A06.2; A06.3; A06.4; A06.5; A06.6; A06.7; A06.8; A06.9; A07.0; A07.1; A07.2; A07.3; A07.8; A07.9; A08.0; A08.1; A08.2; A08.3; A08.4; A08.5
D71,infection,D.7,Mumps,流行性腮腺炎,Mumps,流行性腮腺炎,mumps meningitis/orchitis/pancreatitis,腮腺炎脑膜炎/睾丸炎/胰腺炎,,,"acute non-suppurative, non-erythematous, diffuse tender inflammation of one or more salivary glands; or acute mumps infection demonstrated by culture or serology; or orchitis in a person exposed to mumps following appropriate incubation period",急性非化脓性、非红斑性、弥散性肿胀且触痛的唾液腺炎症；或通过培养或血清学检查证实的急性流行性腮腺炎感染；或接触流行性腮腺炎后适当潜伏期出现的睾丸炎,swelling ,肿胀,,,B26.0; B26.1; B26.2; B26.3; B26.8; B26.9
D72,infection,D.7,Viral hepatitis,病毒性肝炎,Viral hepatitis,病毒性肝炎,all hepatitis presumed viral; chronic active hepatitis,所有假定为病毒性的肝炎；慢性活动性肝炎,hepatitis NOS ,肝炎 NOS,evidence of viral infection with inflammation of the liver with/without jaundice; or serological evidence of an infection with a hepatitis virus,病毒性感染证据伴肝炎性病变有/无黄疸；或乙型肝炎病毒感染的血清学证据,jaundice ,黄疸,,,B15.0; B15.9; B16.0; B16.1; B16.2; B16.9; B17.0; B17.1; B17.2; B17.8; B17.9; B18.0; B18.1; B18.2; B18.8; B18.9; B19.0; B19.9
D73,infection,D.7,Gastroenteritis presumed infection,拟诊感染性胃肠炎,Gastroenteritis presumed infection,拟诊感染性胃肠炎,diarrhoea/vomiting presumed to be infective; dysentery NOS; food poisoning; gastric flu,腹泻/呕吐疑为感染性；不明类型的肠炎；食物中毒；胃流感,irritable bowel syndrome ,肠易激综合症,,,,,,,A09.0; A09.9
D74,neoplasm,D.7,Malignant neoplasm stomach,恶性胃肿瘤,Malignant neoplasm stomach,恶性胃肿瘤,carcinoma stomach,胃癌,,,characteristic histological appearance,特征性组织学表现,other malignant digestive neoplasm (when primary site is uncertain) ,其他消化道恶性肿瘤（当原发部位不确定时）,,,C16.0; C16.1; C16.2; C16.3; C16.4; C16.5; C16.6; C16.8; C16.9
D75,neoplasm,D.7,Malignant neoplasm colon/rectum,恶性结肠/直肠肿瘤,Malignant neoplasm colon/rectum,恶性结肠/直肠肿瘤,,,,,characteristic histological appearance,特征性组织学表现,other digestive malignant neoplasm (when primary site is uncertain) ,其他消化系统恶性肿瘤（当原发部位不确定时）,,,C18.0; C18.1; C18.2; C18.3; C18.4; C18.5; C18.6; C18.7; C18.8; C18.9; C19; C20; C21.0; C21.1; C21.2; C21.8
D76,neoplasm,D.7,Malignant neoplasm pancreas,胰腺恶性肿瘤,Malignant neoplasm pancreas,胰腺恶性肿瘤,carcinoma of pancreas,胰腺癌,,,characteristic histological appearance,特征性组织学表现,other digestive malignant neoplasm (when primary site is unknown) ,其他消化系统恶性肿瘤（当原发部位不明时）,,,C25.0; C25.1; C25.2; C25.3; C25.4; C25.7; C25.8; C25.9
