HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）
HP:0000362,Otosclerosis,"In otosclerosis, a callus of bone accumulates on the stapes creating a partial fixation. This limits the movement of the stapes bone, which results in hearing loss.",Otosclerosis cannot be seen on an office examination. The audiogram indicates a conductive type of hearing loss. Testing of the stapedial reflexes indicates limited or no movement of the bones of hearing.,,,HP:0008628,,是,,否,,,SNOMEDCT_US:11543004; UMLS:C0029899
HP:0000363,Abnormal earlobe morphology,An abnormality of the lobule of pinna.,,Abnormality of auricular lobule; Abnormal earlobe; Abnormality of earlobe; Abnormal lobe of ear; Abnormality of ear lobe; Abnormality of lobulus auriculae,,HP:0000377,HP:0004461; HP:0009748; HP:0009906; HP:0009907; HP:0009908; HP:0009909; HP:0011263; HP:0011265,否,,否,,,UMLS:C4021808
HP:0000364,Hearing abnormality,An abnormality of the sensory perception of sound.,"According to the World Health Organization, deafness refers to the complete loss of hearing ability in one or two ears. Hearing impairment refers to both complete and partial loss of the ability to hear.",Abnormal hearing; Hearing abnormality,,,HP:0000360; HP:0000365; HP:0001963,否,,否,,,UMLS:C4025860
HP:0000365,Hearing impairment,A decreased magnitude of the sensory perception of sound.,"Hearing loss can be categorized by which part of the auditory system is damaged, as conductive hearing loss, sensorineural hearing loss, and mixed hearing loss. Another axis of classification uses the degree of hearing impairment. The degree of hearing loss is computed by using a three frequency average taken at 500 Hz, 1,000 Hz and 2,000 Hz. The average of these three frequencies is called the Pure Tone Average (PTA). 0-20 dB is considered normal, 21-40 dB mild loss, 41-60 dB moderate loss, 61-70 dB moderately severe loss,71-90 dB severe loss, and greater than 90 dB profound loss. Note that the word deafness is occasionally used to describe partial hearing loss. The World Health Organization uses the word deafness to refer to complete loss of the ability to hear, and hearing impairment to refer to any degree of reduced hearing.",Hearing impairment; Deafness; Hypacusis; Hearing defect,Hearing loss; Hypoacusis,HP:0000364,HP:0000405; HP:0000407; HP:0001730; HP:0005101; HP:0008542; HP:0009900; HP:0011975; HP:0012712; HP:0012713; HP:0012714; HP:0012715; HP:0012779; HP:0012781,否,HP:0000404; HP:0001728; HP:0001729; HP:0001754; HP:0008560; HP:0008563,否,,,Fyler:4868; SNOMEDCT_US:103276001; SNOMEDCT_US:15188001; SNOMEDCT_US:343087000; SNOMEDCT_US:95828007; UMLS:C0011053; UMLS:C0018772; UMLS:C0339789; UMLS:C1384666
HP:0000366,Abnormality of the nose,An abnormality of the nose.,,Nasal anomaly; Anomaly of the nose; Nasal abnormality; Abnormality of the nose,,HP:0000271,HP:0000421; HP:0001739; HP:0001742; HP:0004408; HP:0005105; HP:0005289; HP:0012384; HP:3000009; HP:3000014,否,,否,,,SNOMEDCT_US:128274005; SNOMEDCT_US:72089000; UMLS:C0240547; UMLS:C0265736; UMLS:C2235909
HP:0000368,"obsolete Low-set, posteriorly rotated ears",,This bundled term has been retired. It is preferable to code each feature separately.,,,,,是,,是,,,
HP:0000369,Low-set ears,Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.,,Low set ears; Melotia; Low-set ears; Low-set pinnae; Lowset ears,,HP:0000357,,是,,否,,,SNOMEDCT_US:95515009; UMLS:C0239234
HP:0000370,Abnormality of the middle ear,An abnormality of the middle ear.,,Middle ear abnormalities; Middle ear abnormality,,,HP:0008609; HP:0011452; HP:0100799,否,,否,,,UMLS:C1861141
HP:0000371,Acute otitis media,Acute otitis media is a short and generally painful infection of the middle ear.,,Acute middle ear infection,,HP:0000388,,是,,否,,,SNOMEDCT_US:3110003; UMLS:C0271429
HP:0000372,Abnormal auditory canal morphology,Any structural abnormality of the external acoustic tube (also known as the auditory canal).,,Auditory canal abnormality; Abnormality of the auditory canal,,HP:0000356,HP:0000402; HP:0000413; HP:0004459,否,,否,,,UMLS:C4021807
HP:0000375,Abnormal cochlea morphology,An abnormality of the cochlea.,"The cochlea is an inner ear structure comprised of a snail-shell like structure divided into three fluid-filled parts. Two are canals for the transmission of pressure and in the third is the organ of Corti, which detects pressure impulses and responds with electrical impulses which travel along the auditory nerve to the brain.",Abnormality of cochlea,,HP:0011390,HP:0005102; HP:0008554; HP:0011388; HP:0011395,否,,否,,,UMLS:C4025858
HP:0000376,Incomplete partition of the cochlea type II,"With incomplete partition II, the cochlea consists of 1.5 turns; the apical and middle cochlea turns are undifferentiated and form a cystic apex. The vestibule is normal while the vestibular aqueduct is always enlarged. Developmental arrest occurs at the seventh week of gestation.","The triad of incomplete partition of the cochlea type II, dilation of the vestibule, and an enlarged vestibular aqueduct was previously referred to as a Mondini malformation but this nomenclature is no longer recommended. It is important to note that while reading the related literature, it is often not easy to understand if the authors use the correct terminology, so even in recent studies, the term Mondini should be considered with caution.",,Mondini defect; Mondini malformation; Mondini dysplasia; Cochlear malformation defect (Mondini dysplasia),HP:0011373,,是,,否,,,UMLS:C1857078; UMLS:C4025857
HP:0000377,Abnormal pinna morphology,"An abnormality of the pinna, which is also referred to as the auricle or external ear.",The term 'dysplastic' is no longer accepted as a descriptor for an ear with unusual morphology. Each specific anatomical component of the ear should be described when the ear is thought to be abnormal in appearance.,Minor malformation of the auricles; Auricular malformation; Deformed ears; Dysplastic ears; Poorly defined conchae; Deformed auricles; Abnormally shaped ears; Malformed ears; Abnormal form of ears; Malformation of auricle; Malformed auricles; Malformed external ears,,HP:0000356,HP:0000357; HP:0000363; HP:0000378; HP:0000394; HP:0000400; HP:0000411; HP:0005103; HP:0008605; HP:0008608; HP:0008772; HP:0009738; HP:0009893; HP:0009894; HP:0009896; HP:0009901; HP:0009912; HP:0010723; HP:0011039; HP:0011252; HP:0100687; HP:0100830; HP:0200047; HP:3000022,否,HP:0000390; HP:0000398; HP:0004465; HP:0008562; HP:0008566; HP:0008567; HP:0008572; HP:0008580; HP:0008582; HP:0008594; HP:0008602; HP:0040111,否,,,SNOMEDCT_US:253255002; UMLS:C0431483; UMLS:C0857379
HP:0000378,Cupped ear,Laterally protruding ear that lacks antihelical folding (including absence of inferior and superior crura).,,"Cupped ear; Simple, cup-shaped ears; Cup-shaped ears",Cupped ears; Capuchin ears,HP:0000377,,是,HP:0008531; HP:0008600,否,,,UMLS:C1845447; UMLS:C4020892
HP:0000381,Stapes ankylosis,"Stapes ankylosis refers to congenital or acquired fixation of the stapes (the stirrup-shaped small bone or ossicle in the middle ear), which is associated with conductive hearing resulting from impairment of the sound-conduction mechanism (the external auditory canal, tympanic membrane, and/or middle-ear ossicles).","Stapes ankylosis may be congenital or acquired, in which case it is referred to as otosclerosis. Otosclerosis is the most common cause of progressive conductive hearing loss in adults, and is generally manifested as nonsyndromic, delayed-onset, conductive hearing loss, but it may also affect the inner ear to cause sensorineural loss. Congenital stapes ankylosis may be difficult to differentiate from otosclerosis when the diagnosis of conductive hearing loss is delayed.",Stapes fixation,,HP:0008628,HP:0007943,否,,否,,,UMLS:C1861326
HP:0000383,Abnormal periauricular region morphology,,,Abnormality of periauricular region,,HP:0004426,HP:0000384; HP:0004450; HP:0004451; HP:0100277,否,,否,,,UMLS:C4025856
HP:0000384,Preauricular skin tag,A rudimentary tag of skin often containing ear tissue including a core of cartilage and located just anterior to the auricle (outer part of the ear).,,Preauricular fibroepithelial polyp; Preauricular acrochordon; Preauricular skin tags; Ear tag; Periauricular skin tag; Preauricular tag; Preauricular tags,,HP:0010609; HP:0000383,,是,HP:0008575; HP:0100278,否,,,UMLS:C1860816; UMLS:C4072826
HP:0000385,Small earlobe,Reduced volume of the earlobe.,All gradations in size of the earlobe may be seen from absent to clearly enlarged compared to average. This finding is highly variable.,Hypoplastic lobules; Small earlobe; Hypoplastic earlobes; Small earlobes,,HP:0009906,,是,HP:0008616,否,,,UMLS:C1842680
HP:0000387,Absent earlobe,Absence of fleshy non-cartilaginous tissue inferior to the tragus and incisura.,,"Absent earlobe; Absent ear lobes; Earlobe, absent; Lobule aplasia; Lobeless ears",,HP:0009906,,是,,否,,,UMLS:C1849364
HP:0000388,Otitis media,Inflammation or infection of the middle ear.,,Middle ear infection,,HP:0012649; HP:0008609,HP:0000371; HP:0000389; HP:0000403,否,,否,,,SNOMEDCT_US:65363002; UMLS:C0029882
HP:0000389,Chronic otitis media,"Chronic otitis media refers to fluid, swelling, or infection of the middle ear that does not heal and may cause permanent damage to the ear.",,"Otitis media, chronic; Chronic infections of the middle ear",Chronic middle ear infection; Chronic ear infection,HP:0000388,,是,HP:0008524,否,,,SNOMEDCT_US:21186006; UMLS:C0271441; UMLS:C0743359
HP:0000391,Thickened helices,Increased thickness of the helix of the ear.,,Thick helix,,HP:0011039,,是,,否,,,UMLS:C1837732
HP:0000394,Lop ear,Anterior and inferior folding of the upper portion of the ear that obliterates triangular fossa and scapha.,"The term 'lop ear' refers to excessive protrusion of the ear from the side of the head, that is, the external ear stands away from the head at a greater than normal angle (Normal angle of the auricle to the median plane averages 25 degrees in boys and 18 degrees in girls). Lop ears are usually larger than normal ears. Mild forms are limited to the superior ear, more severe forms affect the superior and posterior ear. The concha may be excessively concave. This should be distinguished from an Overfolded helix where the external contour of the ear is normal.",,,HP:0000377,,是,,否,,,SNOMEDCT_US:76223006; UMLS:C0266614
HP:0000395,Prominent antihelix,The presence of an abnormally prominent antihelix.,,,,HP:0009738,,是,,否,,,UMLS:C1845272
HP:0000396,Overfolded helix,"A condition in which the helix is folded over to a greater degree than normal. That is, excessive curling of the helix edge, whereby the free edge is parallel to the plane of the ear.",This is most often seen in the superior helix where it must be distinguished from a Lop ear (where the usual convexity of the posterior border of the ear is lost). Helix folding is highly variable.,Over-folded helices; Overfolded helices; Overfolded ears,,HP:0008544,HP:0004453,否,HP:0001758; HP:0008570,否,,,UMLS:C1837731
HP:0000399,Prelingual sensorineural hearing impairment,"A form of sensorineural deafness with either congenital onset or infantile onset, i.e., before the acquisition of speech.",,"Deafness, sensorineural, prelingual; Prelingual sensorineural deafness",,HP:0011474,,是,HP:0001731,否,,,UMLS:C4021806
HP:0000400,Macrotia,"Median longitudinal ear length greater than two standard deviations above the mean and median ear width greater than two standard deviations above the mean (objective); or, apparent increase in length and width of the pinna (subjective).",This is acknowledged to be a bundled term but retained here because of its usefulness in practice. Ear length is determined by the maximal distance from the superior aspect to the inferior aspect of the external ear. If only length is increased the term Long ear should be used.,Large ears; Large pinnae,,HP:0000377,HP:0002265,否,HP:0000382; HP:0000386; HP:0000401; HP:0001755,否,,,SNOMEDCT_US:275480001; SNOMEDCT_US:69056000; UMLS:C0152421; UMLS:C0554972; UMLS:C1835581; UMLS:C1848570; UMLS:C1850189; UMLS:C1855062; UMLS:C1860838
HP:0000402,Stenosis of the external auditory canal,An abnormal narrowing of the external auditory canal.,,Stenotic external auditory canal; External auditory canal stenosis; Narrow external auditory canals; Narrow external auditory meatus; Narrow auditory canals; Narrowing of passageway from outer ear to middle ear,,HP:0000372,HP:0008588,否,HP:0000373,否,,,SNOMEDCT_US:300127002; SNOMEDCT_US:301061006; UMLS:C0395837; UMLS:C0576860
HP:0000403,Recurrent otitis media,"Increased susceptibility to otitis media, as manifested by recurrent episodes of otitis media.",,"Otitis media, recurrent; Frequent otitis media; Susceptibility to otitis media; Multiple episodes of otitis media; Recurrent middle ear infection; Recurrent episodes of otitis media",,HP:0000388; HP:0002719,,是,HP:0008622; HP:0008623; HP:0008624; HP:0040268,否,,,UMLS:C0747085
HP:0000405,Conductive hearing impairment,An abnormality of vibrational conductance of sound to the inner ear leading to impairment of sensory perception of sound.,A conductive hearing impariment with greater than 90 dB loss.,"Conduction deafness; Hearing loss, conductive; Conductive deafness; Conductive hearing loss",,HP:0000365; HP:0011452,HP:0000410; HP:0008513; HP:0008591; HP:0008598; HP:0008607; HP:0012716; HP:0012717,否,HP:0000367; HP:0008581,否,,,SNOMEDCT_US:44057004; UMLS:C0018777
HP:0000407,Sensorineural hearing impairment,A type of hearing impairment in one or both ears related to an abnormal functionality of the cochlear nerve.,"Hearing loss caused by damage or dysfunction of the auditory nerve (cranial nerve VIII, also known as the cochlear nerve).","Sensorineural deafness; Hearing loss, sensorineural; Sensorineural hearing loss",,HP:0000365; HP:0011389,HP:0000408; HP:0000410; HP:0001757; HP:0008504; HP:0008527; HP:0008573; HP:0008587; HP:0008615; HP:0008619; HP:0008625; HP:0011474; HP:0011476,否,HP:0000374; HP:0001753; HP:0001916; HP:0008538; HP:0008553; HP:0008565; HP:0008576; HP:0008611; HP:0008613; HP:0008614,否,,,SNOMEDCT_US:60700002; UMLS:C0018784
HP:0000408,Progressive sensorineural hearing impairment,A progressive form of sensorineural hearing impairment.,,"Sensorineural hearing loss, progressive; Bilateral progressive sensorineural hearing loss; Hearing loss, progressive sensorineural; Hearing loss, sensorineural, bilateral, progressive; Progressive bilateral sensorineural hearing loss; Hearing loss, sensorineural, progressive",,HP:0000407; HP:0001730,,是,HP:0000397; HP:0000406; HP:0008592; HP:0008601; HP:0008617,否,,,UMLS:C1843156
HP:0000410,Mixed hearing impairment,A type of hearing loss resulting from a combination of conductive hearing impairment and sensorineural hearing impairment.,,"Mixed hearing impairment; Hearing loss, mixed; Mixed hearing loss",,HP:0000405; HP:0000407,,是,,否,,,SNOMEDCT_US:77507001; UMLS:C0155552
HP:0000411,Protruding ear,"Angle formed by the plane of the ear and the mastoid bone greater than the 97th centile for age (objective); or, outer edge of the helix more than 2 cm from the mastoid at the point of maximum distance (objective).",,Prominent ear; Prominent ears,Protruding ears,HP:0000377,,是,HP:0000412,否,,,SNOMEDCT_US:275478007; UMLS:C1305420; UMLS:C1855285
HP:0000413,Atresia of the external auditory canal,Absence or failure to form of the external auditory canal.,,External auditory canal atresia; External acoustic meatus atresia; Atretic external auditory canals; Absent external auditory canals; Atretic auditory canals; External auditory meatal atresia; Atretic auditory canal; Atretic external auditory canal; Auditory canal atresia; Absent ear canal; Absent auditory canals; External auditory meatus atresia,Atresia of the external auditory canals,HP:0000372,,是,HP:0008547; HP:0008564; HP:0008626,否,,,UMLS:C1398325; UMLS:C1840305; UMLS:C1857079; UMLS:C1866190
HP:0000414,Bulbous nose,Increased volume and globular shape of the anteroinferior aspect of the nose.,"This is a bundled term, but as it is useful in practice it is kept here. This alteration of size and shape may be limited to the tip, but may involve the lower third of the nose. If only the width of the nasal tip is increased this should be coded as Broad nasal tip.",Bulbous nose,Bulbous nasal tip; Potato nose,HP:0000436,,是,HP:0000443,否,,,UMLS:C0240543; UMLS:C1834118; UMLS:C1855751
HP:0000415,Abnormal choanae morphology,Abnormality of the choanae (the posterior nasal apertures).,,Abnormality of the choanae,,HP:0005105,HP:0000452; HP:0000453,否,,否,,,UMLS:C4025855
HP:0000417,Slender nose,,,Slender nose,,HP:0005105,,是,,否,,,UMLS:C1857645
HP:0000418,Narrow nasal ridge,Decreased width of the nasal ridge.,"This feature may be accompanied by narrow nasal bridge and narrow nasal base, which should be coded separately.",Narrow nasal ridge; Thin nasal dorsum; Pinched nose; Thin nasal ridge; Narrow dorsum of nose; Thin dorsum of nose; Decreased width of nasal ridge; Decreased width of nasal dorsum; Decreased width of dorsum of nose; Narrow nasal dorsum,,HP:0011119,,是,,否,,,UMLS:C1837761
HP:0000419,Abnormal nasal septum morphology,An abnormality of the nasal septum.,,Abnormality of septum of nose; Anomaly of septum of nose; Abnormality of the nasal septum; Anomaly of nasal septum,,HP:0005105,HP:0000420; HP:0004411; HP:0005322; HP:0009746; HP:0009935; HP:0009936; HP:3000034,否,,否,,,SNOMEDCT_US:95433000; UMLS:C0151790
HP:0000420,Short nasal septum,Reduced superior to inferior length of the nasal septum.,,Decreased length of septum of nose; Short nasal septum; Short septum of nose; Decreased length of nasal septum,,HP:0000419,,是,,否,,,UMLS:C1844857
HP:0000421,Epistaxis,"Epistaxis, or nosebleed, refers to a hemorrhage localized in the nose.",,Nasal haemorrhage; Nosebleed; Nose bleed; Frequent nosebleeds; Bloody nose; Nose bleeding; Nasal hemorrhage,,HP:0001892; HP:0000366,HP:0004406,否,,否,,,COHD:318556; EFO:0003895; ICD10:R04.0; ICD9:784.7; NCIT:C26766; SNOMEDCT_US:12441001; SNOMEDCT_US:249366005; UMLS:C0014591
HP:0000422,Abnormal nasal bridge morphology,"Abnormality of the nasal bridge, which is the saddle-shaped area that includes the nasal root and the lateral aspects of the nose. It lies between the glabella and the inferior boundary of the nasal bone, and extends laterally to the inner canthi.","The nasal root is the most depressed, superior part of the nose along the nasal ridge.",Abnormality of the bridge of the nose; Abnormality of the nasal bridge; Abnormality of the nasal root,,HP:0005105,HP:0000426; HP:0000431; HP:0000446; HP:0003194; HP:0005280; HP:0005281; HP:0005285,否,HP:0000423,否,,,UMLS:C4021805
HP:0000426,Prominent nasal bridge,Anterior positioning of the nasal root in comparison to the usual positioning for age.,"A prominent nasal bridge can occur irrespective of the width of the nasal bridge, and the width should be assessed separately. The nasal bridge becomes more prominent with age. Although the nasal root may be anteriorly placed without increasing the space between the eyes, prominence of the nasal bridge may be accompanied by Telecanthus or ocular Hypertelorism. If such findings are present these should be coded separately. Deep-set eyes may lead to the impression of a prominent nasal bridge, but this finding should be coded separately.",Protruding nasal bridge; Prominent bridge of nose; High nasal bridge; Prominent nasal root; Elevated nasal bridge; Protruding bridge of nose; Prominent nasal bridge,Convex nasal bridge; Convex bridge of nose,HP:0000422,,是,HP:0000432; HP:0000442; HP:0004498; HP:0005287,否,,,UMLS:C1854113; UMLS:C4230640
HP:0000429,Abnormal morphology of the nasal alae,An abnormality of the Ala of nose.,"The nasal ala is the tissue comprising the lateral boundary of the nose, inferiorly, surrounding the naris.",Abnormality of the nasal alae; Abnormality of the nasal ala,,HP:0010938,HP:0000430; HP:0000454; HP:0000463; HP:0003191; HP:0005275; HP:0009928; HP:0010649,否,,否,,,UMLS:C2227020; UMLS:C4021804; UMLS:C4280631; UMLS:C4280632
HP:0000430,Underdeveloped nasal alae,"Thinned, deficient, or excessively arched ala nasi.","The alae nasi are the lateral portions of the nose or the wings of the nostrils, which partly encircle the nostrils (nares). They are usually about the width of the columella, but vary greatly depending on the shape of the nostril. Note that individuals may be described as having a Cleft ala nasi, but have a severely underdeveloped ala nasi. In an underdeveloped ala the continuity of the tissue encircling the nostril is undisturbed while in a cleft it is disrupted. With severe hypoplasia of the nasal alae, the nasal tip may appear depressed.","Nasal cartilage hypoplasia; Decreased size of nasal alae; Hypoplastic alae nasi; Hypoplastic nares; Hypoplastic alae nasae; Alar cartilage hypoplasia; Thin hypoplastic alae nasi; Hypoplastic alar cartilage; Hypoplastic alar nasae; Ala nasi, underdeveloped; Underdeveloped tissue around nostril; Hypoplastic nostrils; Hypoplastic nasal wings; Hypoplastic nasal alae; Small nasal alae",,HP:0009924; HP:0000429,,是,HP:0004497; HP:0004507; HP:0005276; HP:0005277; HP:0005286,否,,,UMLS:C1834055
HP:0000431,Wide nasal bridge,"Increased breadth of the nasal bridge (and with it, the nasal root).","Care should be taken to distinguish between increased width of bone and Fullness of paranasal tissue. A wide nasal bridge should be distinguished from Telecanthus and Hypertelorism. A wide nasal bridge can be either prominent or depressed, which should be coded separately.","Increased width of bridge of nose; Wide nasal bridge; Increased breadth of bridge of nose; Broad nasal bridge; Nasal bridge broad; Broad nasal root; Broadened nasal bridge; Increased breadth of nasal bridge; Wide bridge of nose; Increased width of nasal bridge; Widened nasal bridge; Nasal bridge, wide",Broad flat nasal bridge,HP:0000422,,是,HP:0000424; HP:0004500; HP:0004504; HP:0004650; HP:0200139,否,,,SNOMEDCT_US:249321001; UMLS:C1839764; UMLS:C1849367
HP:0000433,Abnormal nasal mucosa morphology,,,Abnormality of the nasal mucosa; Abnormality of mucous membrane of nose; Abnormality of mucosa of nose; Abnormality of nasal mucous membrane,,HP:0005105,HP:0000434; HP:0100582,否,,否,,,UMLS:C4025854
HP:0000434,Nasal mucosa telangiectasia,Telangiectasia of the nasal mucosa.,,Spider veins of mucous membrane of nose; Nasal mucous membrane telangiectasia; Angioectasia of mucosa of nose; Angioectasia of nasal mucous membrane; Telangiectasia of nasal mucous membrane; Telangiectasia of mucous membrane of nose; Spider veins of mucosa of nose; Telangiectasia of mucosa of nose; Angioectasia of mucous membrane of nose; Spider veins of nasal mucous membrane,,HP:0000433; HP:0100579,,是,,否,,,UMLS:C4025853
HP:0000436,Abnormal nasal tip morphology,An abnormality of the nasal tip.,"The nasal tip is located at the junction of the inferior margin of the nasal ridge and the columella. Commonly, it is the part of the nose furthest from the plane of the face. In rare circumstances, such as markedly prominent and convex nasal profiles, other parts of the ridge may be further removed from the facial plane.",Abnormality of tip of nose; Abnormality of the nasal tip,,HP:0010938,HP:0000414; HP:0000437; HP:0000451; HP:0000455; HP:0000456; HP:0004132; HP:0005274; HP:0005278; HP:0011831; HP:0011832; HP:0011833,否,,否,,,UMLS:C4025852
HP:0000437,Depressed nasal tip,Decreased distance from the nasal tip to the nasal base.,"This often accompanies a Short columella, Overhanging nasal tip, and Underdeveloped nasal tip, but these should be assessed and coded separately.","Flattened nasal tip; Depressed nasal tip; Flat nasal tip; Depressed tip of nose; Nasal tip, recessed; Caved in nasal tip; Flat tip of nose; Nasal tip, retruded; Retruded tip of nose; Nasal tip, depressed",,HP:0000436,,是,HP:0005279,否,,,UMLS:C1859717
HP:0000444,Convex nasal ridge,"Nasal ridge curving anteriorly to an imaginary line that connects the nasal root and tip. The nose appears often also prominent, and the columella low.",,Beaklike protrusion; Convex dorsum of nose; Hooked nose; Convex nasal dorsum; Polly beak nasal deformity; Beaked nose,,HP:0011119,,是,HP:0003683,否,,,UMLS:C0240538
HP:0000445,Wide nose,"Interalar distance more than two standard deviations above the mean for age, i.e., an apparently increased width of the nasal base and alae.",,Wide nose; Increased width of nose; Increased nasal breadth; Increased nasal width; Broad nose; Increased breadth of nose,,HP:0005105,,是,HP:0000438,否,,,SNOMEDCT_US:249321001; UMLS:C0426421
HP:0000446,Narrow nasal bridge,Decreased width of the bony bridge of the nose.,"The narrowness may be accompanied by a sharp, keel-shaped appearance. The nasal bridge may narrow with age.","Narrow bridge of nose; Narrow nasal root; Nasal bridge, thin; Narrow nasal bridge; Nasal Bridge, Narrow",Pinched bridge of nose; Pinched nasal bridge,HP:0000422,,是,HP:0100782,否,,,UMLS:C4551564
HP:0000447,Pear-shaped nose,,,Pear-shaped nose,,HP:0005105,,是,,否,,,UMLS:C1853482
HP:0000448,Prominent nose,"Distance between subnasale and pronasale more than two standard deviations above the mean, or alternatively, an apparently increased anterior protrusion of the nasal tip.",,Big nose; Increased nasal size; Increased size of nose; Large nose; Prominent nose; Pronounced nose; Disproportionately large nose,Nasal hyperplasia; Hypertrophy of nose; Nasal hypertrophy; Hyperplasia of nose,HP:0005105,,是,HP:0000461; HP:0005271; HP:0200140,否,,,SNOMEDCT_US:249311009; UMLS:C0426415; UMLS:C1400105; UMLS:C4280629
HP:0000451,Triangular nasal tip,,,Triangular nasal tip; Triangular shaped tip of nose,,HP:0000436,,是,,否,,,UMLS:C1839765
HP:0000452,Choanal stenosis,Abnormal narrowing of the choana (the posterior nasal aperture).,,Coanal stenosis; Narrowing of the rear opening of the nasal cavity,,HP:0000415,HP:0200138,否,,否,,,SNOMEDCT_US:306963008; UMLS:C0584837
HP:0000453,Choanal atresia,"Absence or abnormal closure of the choana (the posterior nasal aperture). Most embryologists believe that posterior choanal atresia results from a failure of rupture between the 35th and 38th day of fetal life of the partition which separates the bucconasal or buccopharyngeal membranes. The resultant choanal atresia may be unilateral or bilateral, bony or membranous, complete or incomplete. In over 90 per cent of cases the obstruction is bony, while in the remainder it is membranous. The bony type of atresia is commonly located 1-2 mm. anterior to the posterior edge of the hard palate, and the osseous septum varies in thickness from 1 to 10 mm. In the membranous form of choanal atresia the obstruction usually occurs further posteriorly. In approximately one third of cases the atresia is bilateral.",,Blockage of the rear opening of the nasal cavity,,HP:0000415,HP:0004502; HP:0011820,否,HP:0000416; HP:0004496; HP:0004503,否,,,Fyler:4203; SNOMEDCT_US:204508009; UMLS:C0008297
HP:0000454,Flared nostrils,,,Flared nasal alae; Flared nostrils,,HP:0000429,,是,,否,,,SNOMEDCT_US:21558008; SNOMEDCT_US:248568003; UMLS:C0277873
HP:0000455,Broad nasal tip,Increase in width of the nasal tip.,Nasal tip width is assessed at the anterior junction of the alae and the tip. This is easier in persons with a somewhat squared shape of the nasal tip. This may be best viewed from the inferior aspect of the nose. No objective measures are available. See Bulbous nose for a related term.,"Broad tip of nose; Wide tip of nose; Nasal tip, broad; Nasal tip, wide; Increased breadth of tip of nose; Broad nasal tip; Increased width of tip of nose; Broad, upturned nose; Increased width of nasal tip; Increased breadth of nasal tip",Broad upturned nose,HP:0000436,,是,HP:0004501; HP:0005269,否,,,SNOMEDCT_US:249327002; UMLS:C0426429
HP:0000456,Bifid nasal tip,"A splitting of the nasal tip. Visually assessable vertical indentation, cleft, or depression of the nasal tip.",This is a rare congenital deformity due to failure of the paired nasal processes to fuse to a single midline organ during early gestation.,Cleft nasal tip; Bifid tip of nose,Notched nasal tip; Notched tip of nose; Cleft tip of nose,HP:0000436,,是,HP:0005282,否,,,SNOMEDCT_US:249326006; UMLS:C0426428; UMLS:C4020890
HP:0000457,Depressed nasal ridge,Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge.,"The adjective 'depressed' here does not indicate an active process but a status. The feature should be assessed in a profile view. This finding is typically associated with a Short columella, but this should be assessed separately.",Retruded nasal dorsum; Flat nose; Recessed dorsum of nose; Depressed nasal dorsum; Retruded nasal ridge; Depressed dorsum of nose; Recessed nasal dorsum; Flat nasal dorsum; Flat dorsum of nose; Retruded dorsum of nose; Recessed nasal ridge,,HP:0011119,,是,,否,,,UMLS:C1842876
HP:0000458,Anosmia,"An inability to perceive odors. This is a general term describing inability to smell arising in any part of the process of smelling from absorption of odorants into the nasal mucous overlying the olfactory epithelium, diffusion to the cilia, binding to olfactory receptor sites, generation of action potentials in olfactory neurons, and perception of a smell.",,Loss of smell; Lost smell,,HP:0004408,HP:0010632; HP:0010633; HP:0012247,否,,否,,,SNOMEDCT_US:44169009; UMLS:C0003126
HP:0000460,Narrow nose,"Interalar distance more than 2 SD below the mean for age, or alternatively, an apparently decreased width of the nasal base and alae.",Note: a small nose has both decreased height and a decreased width. These should be coded separately.,Narrow nose; Thin nose; Decreased nasal width; Decreased nasal breadth,,HP:0005105,,是,,否,,,SNOMEDCT_US:249322008; UMLS:C0426422
HP:0000463,Anteverted nares,Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip).,"The tip of the nose is upturned and is positioned superiorly to the nasal base, allowing the nares to be easily visualized from the front. With maturation and growth of the nasal ridge and tip, the nares usually become more downwardly directed.","Anteverted nostrils; Upturned nares; Nasal tip, upturned; Upturned nasal tip; Upturned nostrils; Anteverted nose; Upturned nose; Nostrils anteverted",Upturned nasal tips,HP:0000429; HP:0005288,,是,HP:0000427; HP:0000435; HP:0000441; HP:0004495,否,,,SNOMEDCT_US:708670007; UMLS:C1840077
HP:0000464,Abnormality of the neck,An abnormality of the neck.,,Anomaly of the neck; Abnormality of the neck,,HP:0000152,,是,,否,,,SNOMEDCT_US:298390003; SNOMEDCT_US:40052002; UMLS:C0266623; UMLS:C0575167; UMLS:C4280628
HP:0000465,Webbed neck,Pterygium colli is a congenital skin fold that runs along the sides of the neck down to the shoulders. It involves an ectopic fibrotic facial band superficial to the trapezius muscle. Excess hair-bearing skin is also present and extends down the cervical region well beyond the normal hairline.,,Neck webbing; Webbed neck; Pterygium colli,,,,是,,否,,,SNOMEDCT_US:11731003; UMLS:C0221217
