HPO编码,标准名称（英文）,标准名称（中文）,定义（中文）
HP:0008322,Abnormal mitochondrial morphology,线粒体形态异常,
HP:0008323,Abnormal light- and dark-adapted electroretinogram,异常的明暗适应视网膜电流图,
HP:0008326,Reduced circulating vitamin B6 circulating,循环维生素B6水平降低,
HP:0008327,Microscopic nephrocalcinosis,肾脏微小钙质沉着症,
HP:0008330,Reduced von Willebrand factor activity,血管性血友病因子活性减低,
HP:0008331,Elevated creatine kinase after exercise,运动后肌酸激酶升高,
HP:0008336,Complex organic aciduria,复杂有机酸尿症,
HP:0008338,Partial functional complement factor D deficiency,补体因子D部分功能缺乏,
HP:0008339,Diaminoaciduria,双氨基酸尿,
HP:0008341,Distal renal tubular acidosis,远端肾小管性酸中毒,
HP:0008344,Elevated circulating branched chain amino acid concentration,循环支链氨基酸浓度升高,
HP:0008345,Hypoplasia of the iris dilator muscle,瞳孔开大肌发育不全,
HP:0008346,Increased red cell sickling tendency,镰状红细胞增加倾向,
HP:0008347,Decreased activity of mitochondrial complex IV,线粒体复合物IV活性降低,
HP:0008348,Decreased circulating IgG2 concentration,循环IgG2水平降低,
HP:0008352,Impaired platelet adhesion,血小板粘附障碍,
HP:0008353,Neutral hyperaminoaciduria,中性高氨基酸尿,
HP:0008354,Factor X activation deficiency,凝血因子X活性降低,
HP:0008357,Reduced factor XIII activity,凝血因子XIII活性减低,
HP:0008358,Hyperprolinemia,高脯氨酸血症,
HP:0008360,Neonatal hypoproteinemia,新生儿低蛋白血症,
HP:0008361,Corticospinal tract pallor,皮质脊髓束苍白,
HP:0008362,Aplasia/Hypoplasia of the hallux,拇趾发育不良/发育不全,
HP:0008363,Aplasia/Hypoplasia of the tarsal bones,跗骨发育不良/发育不全,
HP:0008364,Abnormality of the calcaneus,跟骨异常,
HP:0008365,Abnormal talus morphology,距骨形态异常,
HP:0008366,Foot joint contracture,足关节挛缩,
HP:0008368,Tarsal synostosis,跗骨骨性融合,
HP:0008369,Abnormal tarsal ossification,跗骨骨化异常,
HP:0008371,Abnormal metatarsal ossification,跖骨骨化异常,
HP:0008372,Abnormal circulating vitamin A concentration,循环维生素A浓度异常,
HP:0008373,Puberty and gonadal disorders,青春期及性腺疾病,
HP:0008376,Nasal dysarthria,鼻构音障碍,
HP:0008383,Slow-growing nails,甲生长缓慢,
HP:0008386,Aplasia/Hypoplasia of the nails,甲发育缺陷/不全,
HP:0008388,Abnormal toenail morphology,趾甲形态异常,
HP:0008390,Recurrent loss of toenails and fingernails,指（趾）甲反复脱落,
HP:0008391,Dystrophic fingernails,指甲营养不良,
HP:0008392,Subungual hyperkeratosis,甲下角化过度,
HP:0008393,Congenital curved nail of fourth toe,先天性第4趾甲弯曲,
HP:0008394,Congenital onychodystrophy,先天性甲营养不良,
HP:0008396,Chronic monilial nail infection,慢性念珠菌性甲感染,
HP:0008398,Hypoplastic fifth fingernail,第5指甲发育不良,
HP:0008399,Circumungual hyperkeratosis,甲周皮肤角化过度,
HP:0008400,Onycholysis of distal fingernails,指甲末端甲分离,
HP:0008401,Onychogryposis of toenails,趾甲弯曲,
HP:0008402,Ridged fingernail,指甲纵嵴,
HP:0008404,Nail dystrophy,甲营养不良,
HP:0008407,Hyperconvex thumb nails,拇指甲面异常凸起,
HP:0008410,Subungual hyperkeratotic fragments,甲下片状角化过度,
HP:0008414,Lumbar kyphosis in infancy,婴儿期腰椎后凸,
HP:0008416,Six lumbar vertebrae,六块腰椎,
HP:0008417,Vertebral hypoplasia,椎体发育不全,
HP:0008418,Squared-off platyspondyly,方形扁平椎,
HP:0008419,Intervertebral disk degeneration,椎间盘退行性变,
HP:0008420,Punctate vertebral calcifications,椎体点状钙化,
HP:0008421,Tall lumbar vertebral bodies,腰椎椎体的高度增加,
HP:0008422,Vertebral wedging,椎体楔形变,
HP:0008423,Spinal dysplasia,脊柱发育不良,
HP:0008424,Hypoplastic 5th lumbar vertebrae,第五腰椎发育不良,
HP:0008425,Cuboid-shaped thoracolumbar vertebral bodies,胸腰椎椎体呈长方体状,
HP:0008428,Vertebral clefting,椎体裂,
HP:0008430,Anterior beaking of lumbar vertebrae,腰椎前缘鸟喙样凸出,
HP:0008432,Anterior wedging of L1,腰1椎体前侧楔形,
HP:0008433,Reversed usual vertebral column curves,脊柱反向弯曲,
HP:0008434,Hypoplastic cervical vertebrae,颈椎发育不良,
HP:0008435,Absent in utero ossification of vertebral bodies,宫内椎体未骨化,
HP:0008436,Absent/hypoplastic coccyx,尾骨缺如或发育不良,
HP:0008437,Bifid thoracic vertebrae,胸椎纵裂,
HP:0008438,Vertebral arch anomaly,椎弓异常,
HP:0008439,Lumbar hemivertebrae,腰椎半椎体,
HP:0008440,C1-C2 vertebral abnormality,C1-C2寰枢椎椎体异常,
HP:0008441,Herniation of intervertebral nuclei,椎间盘髓核疝出,
HP:0008442,Vertebral hyperostosis,椎体骨质增生,
HP:0008443,Neuropathic spinal arthropathy,神经性脊柱关节病,
HP:0008444,Posterior wedging of vertebral bodies,椎体后侧楔形,
HP:0008445,Cervical spinal canal stenosis,颈椎椎管狭窄,
HP:0008447,Hypoplastic coccygeal vertebrae,尾骨发育不良,
HP:0008449,Progressive cervical vertebral spine fusion,进行性颈椎融合,
HP:0008450,Narrow vertebral interpedicular distance,椎弓根间隙变窄,
HP:0008451,Posterior vertebral hypoplasia,后脊椎发育不良,
HP:0008452,Wafer-thin platyspondyly,极薄的扁平椎体,
HP:0008453,Congenital kyphoscoliosis,先天性脊柱后侧凸畸形,
HP:0008454,Lumbar kyphosis,腰椎后凸,
HP:0008455,Dysplastic sacrum,骶骨发育不良,
HP:0008456,C2-C3 subluxation,C2-C3椎体半脱位,
HP:0008457,Caudal interpedicular narrowing,尾骨椎弓根狭窄,
HP:0008458,Progressive congenital scoliosis,进行性先天性脊柱侧凸,
HP:0008459,Cervical vertebral agenesis,颈椎发育不全,
HP:0008460,Hypoplastic spinal processes,棘突发育不良,
HP:0008461,Cervical vertebral facet hypoplasia,颈椎关节突发育不良,
HP:0008462,Cervical instability,颈椎不稳,
HP:0008463,Central vertebral hypoplasia,环椎发育不良,
HP:0008464,Absent spinous processes of lower thoracic and lumbar vertebrae,下段胸椎和腰椎的棘突缺如,
HP:0008465,Absent vertebra,椎体缺如,
HP:0008467,Thoracic hemivertebrae,胸椎半椎体,
HP:0008468,Abnormal sacral segmentation,骶骨分节异常,
HP:0008469,Cervical vertebral dysplasia,颈椎发育不良,
HP:0008470,Lower thoracic interpediculate narrowness,下段胸椎弓根间隙狭窄,
HP:0008472,Prominent protruding coccyx,尾骨突出,
HP:0008473,Narrow anterio-posterior vertebral body diameter,椎体前后径狭窄,
HP:0008475,Hypoplastic sacral vertebrae,骶椎发育不良,
HP:0008476,Irregular sclerotic endplates,不规则硬化终板,
HP:0008477,Poorly ossified cervical vertebrae,颈椎骨化不良,
HP:0008478,Scheuermann-like vertebral changes,Scheuermann样椎体改变,
HP:0008479,Hypoplastic vertebral bodies,椎体发育不良,
HP:0008480,Cervical spondylosis,颈椎病,
HP:0008482,Asymmetry of spinal facet joints,脊柱小关节不对称,
HP:0008483,Cervical vertebral bodies with decreased anteroposterior diameter,颈椎椎体前后径减少,
HP:0008484,Thoracolumbar interpediculate narrowness,胸腰椎弓根间隙狭窄,
HP:0008486,Lumbar interpedicular narrowing,腰椎弓根间隙缩窄,
HP:0008488,Anterior rounding of vertebral bodies,椎体前侧变圆,
HP:0008489,Spondylolisthesis at L5-S1,L5-S1腰椎滑脱,
HP:0008490,Sacral segmentation defect,骶骨分节缺陷,
HP:0008491,Premature anterior fontanel closure,前囟过早闭合,
HP:0008494,Inferior lens subluxation,晶状体下部半脱位,
HP:0008496,Multiple rows of eyelashes,多行睫,
HP:0008497,Congenital craniofacial dysostosis,先天性颅面骨发育不全,
HP:0008499,High hypermetropia,高度远视,
HP:0008504,Moderate sensorineural hearing impairment,中度感音神经性听力受损,
HP:0008507,Static ophthalmoparesis,静态眼肌瘫痪,
HP:0008509,Aged leonine appearance,衰老的狮面面容,
HP:0008511,Central posterior corneal opacity,中央后角膜混浊,
HP:0008513,Bilateral conductive hearing impairment,双侧传导性听力受损,
HP:0008515,Aplasia/Hypoplasia of the vertebrae,椎体发育不良/发育不全,
HP:0008516,Abnormality of the vertebral spinous processes,椎体棘突异常,
HP:0008517,Aplasia/Hypoplasia of the sacrum,骶骨发育不良/发育不全,
HP:0008518,Aplasia/Hypoplasia involving the vertebral column,脊柱发育不良/发育不全,
HP:0008519,Abnormal coccyx morphology,尾骨形态异常,
HP:0008523,Posterior helix pit,耳轮后凹陷,
HP:0008527,Congenital sensorineural hearing impairment,先天性感音神经性听力受损,
HP:0008528,Long hairs growing from helix of pinna,耳轮毛发过长,
HP:0008529,Absence of acoustic reflex,声反射缺失,
HP:0008537,Cleft at the superior portion of the pinna,上部耳廓裂,
HP:0008541,Superiorly displaced ears,优势替代耳,
HP:0008542,Low-frequency hearing loss,低频听力丧失,
HP:0008544,Abnormally folded helix,耳轮卷曲异常,
HP:0008551,Microtia,小耳畸形,
HP:0008554,Cochlear malformation,耳蜗畸形,
HP:0008555,Absent vestibular function,前庭功能缺失,
HP:0008559,Hypoplastic superior helix,耳轮上部发育不全,
HP:0008568,Vestibular areflexia,前庭反射消失,
HP:0008569,"Microtia, second degree",小耳畸形，2级,
HP:0008573,Low-frequency sensorineural hearing impairment,低频感音神经性听力受损,
HP:0008577,Underfolded helix,耳轮卷曲减少,
HP:0008583,Underfolded superior helices,耳轮上部卷曲减少,
HP:0008586,Hypoplasia of the cochlea,耳蜗发育不全,
HP:0008587,Mild neurosensory hearing impairment,轻度感音神经性听力受损,
HP:0008588,Slit-like opening of the exterior auditory meatus,外耳道隙状开口,
HP:0008589,Hypoplastic helices,耳轮发育不全,
HP:0008591,Congenital conductive hearing impairment,先天性传导性听力受损,
HP:0008593,Prominent antitragus,对耳屏突出,
HP:0008596,Postlingual sensorineural hearing impairment,学语后感音神经性听力受损,
HP:0008598,Mild conductive hearing impairment,轻度传导性听力受损,
HP:0008605,Unilateral external ear deformity,单侧外耳畸形,
HP:0008606,Supraauricular pit,耳前瘘管,
HP:0008607,Progressive conductive hearing impairment,渐进性传导性听力受损,
HP:0008608,Hypertrophic auricular cartilage,耳廓软骨肥大,
HP:0008609,Abnormal middle ear morphology,中耳形态异常,
HP:0008610,Infantile sensorineural hearing impairment,婴幼儿感音神经性听力受损,
HP:0008615,Adult onset sensorineural hearing impairment,成人起病感觉神经性听力受损,
HP:0008619,Bilateral sensorineural hearing impairment,双侧感音神经性听觉受损,
HP:0008625,Severe sensorineural hearing impairment,重度感音神经性听力受损,
HP:0008628,Abnormal stapes morphology,镫骨形态异常,
HP:0008629,Pulsatile tinnitus,搏动性耳鸣,
HP:0008631,Ureteral dysgenesis,输尿管发育不良,
HP:0008633,Agonadism,无性腺症,
HP:0008635,Urinary bladder wall hypertrophy,膀胱壁肥大,
HP:0008639,Gonadal hypoplasia,性腺发育不良,
HP:0008640,Congenital macroorchidism,先天性大睾丸,
HP:0008643,Nephroblastomatosis,肾母细胞瘤病,
HP:0008647,Pubertal developmental failure in females,女性青春期性发育障碍,
HP:0008648,Anteriorly displaced urethral meatus,尿道口向前移位,
HP:0008651,Uric acid urolithiasis independent of gout,非痛风引起的尿路尿酸结石,
HP:0008652,Autonomic erectile dysfunction,自主性勃起功能障碍,
HP:0008653,Crescentic glomerulonephritis,新月体肾小球肾炎,
HP:0008655,Aplasia/Hypoplasia of the fallopian tube,输卵管发育不全/发育不良,
HP:0008656,Incomplete male pseudohermaphroditism,不完全型男性假两性畸形,
HP:0008659,Multiple small medullary renal cysts,多发性肾髓质小囊肿,
HP:0008660,Renotubular dysgenesis,肾小管发育不全,
HP:0008661,Urethral stenosis,尿道狭窄,
HP:0008663,Renal sarcoma,肾肉瘤,
HP:0008664,Urethral sphincter sclerosis,尿道括约肌硬化症,
HP:0008665,Clitoral hypertrophy,阴蒂肥大,
HP:0008666,Impaired histidine renal tubular absorption,肾小管组氨酸吸收障碍,
HP:0008668,"Gonadal dysgenesis, male",男性性腺发育不良,
HP:0008669,Abnormal spermatogenesis,生精异常,
HP:0008670,Partial vaginal septum,部分型阴道膈,
HP:0008672,Calcium oxalate nephrolithiasis,草酸钙肾结石,
HP:0008675,Enlarged polycystic ovaries,增大的多囊卵巢,
HP:0008676,Congenital megaureter,先天性巨输尿管症,
HP:0008677,Congenital nephrotic syndrome,先天性肾病综合征,
HP:0008678,Renal hypoplasia/aplasia,肾发育不良/不全,
HP:0008682,Renal tubular epithelial necrosis,肾小管上皮细胞坏死,
HP:0008683,Enlarged labia minora,小阴唇增大,
HP:0008684,Aplasia/hypoplasia of the uterus,子宫发育不全/发育不良,
HP:0008687,Hypoplasia of the prostate,前列腺发育不良,
HP:0008689,Bilateral cryptorchidism,双侧隐睾,
HP:0008691,Solitary bladder diverticulum,孤立的膀胱憩室,
HP:0008695,Transient nephrotic syndrome,瞬态肾病综合征,
HP:0008696,Renal hamartoma,肾错构瘤,
HP:0008697,Hypoplasia of the fallopian tube,输卵管发育不良,
HP:0008702,Absent internal genitalia,内生殖器缺如,
HP:0008703,Gonadal calcification,性腺钙化,
HP:0008705,Ureteral triplication,三重输尿管,
HP:0008706,Distal urethral duplication,远端尿道重复畸形,
HP:0008707,Absent scrotum,阴囊缺如,
HP:0008708,Partial development of the penile shaft,局部阴茎体发育,
HP:0008711,Benign prostatic hyperplasia,前列腺良性增生,
HP:0008714,Ureterovesical stenosis,输尿管膀胱交界处狭窄,
HP:0008715,Testicular dysgenesis,睾丸发育不全,
HP:0008716,Urethrovaginal fistula,尿道阴道瘘,
HP:0008717,Unilateral renal atrophy,单侧肾萎缩,
HP:0008718,Unilateral renal dysplasia,单侧肾发育不良,
HP:0008720,Primary testicular failure,原发性睾丸功能衰竭,
HP:0008722,Urethral diverticulum,尿道憩室,
HP:0008723,"Gonadal dysgenesis with female appearance, male",男性性腺发育不全，女性外表,
HP:0008724,Hypoplasia of the ovary,卵巢发育不良,
HP:0008726,Hypoplasia of the vagina,阴道发育不良,
HP:0008729,Absence of labia majora,大阴唇缺如,
HP:0008730,"Female external genitalia in individual with 46,XY karyotype","染色体核型为46,XY的个体具有女性外生殖器",
HP:0008732,Renal hypophosphatemia,肾性低磷血症,
HP:0008733,Dysplastic testes,睾丸发育不良,
HP:0008734,Decreased testicular size,睾丸体积过小,
HP:0008736,Hypoplasia of penis,阴茎发育不良,
HP:0008738,Partially duplicated kidney,部分性重复肾,
HP:0008739,Labial pseudohypertrophy,阴唇假性肥厚,
HP:0008740,Longitudinal vaginal septum,阴道纵膈,
HP:0008742,Prominent prostate median bar,前列腺正中脊突出,
HP:0008743,Coronal hypospadias,冠状沟型尿道下裂,
HP:0008744,Abnormal aryepiglottic fold morphology,杓会厌皱襞形态异常,
HP:0008747,Cartilaginous ossification of larynx,喉软骨骨化,
HP:0008749,Laryngeal hypoplasia,喉发育不全,
HP:0008750,Laryngeal atresia,喉闭锁,
HP:0008751,Laryngeal cleft,喉裂,
HP:0008752,Laryngeal cartilage malformation,喉软骨畸形,
HP:0008753,Aplasia of the epiglottis,会厌发育不全,
HP:0008754,Laryngeal calcification,喉钙化,
HP:0008755,Laryngotracheomalacia,喉气管软化,
HP:0008756,Bowing of the vocal cords,声带弯曲,
HP:0008757,Unilateral vocal cord paralysis,单侧声带麻痹,
HP:0008760,Violent behavior,暴力行为,
HP:0008762,Repetitive compulsive behavior,重复强迫行为,
HP:0008763,No social interaction,无社会交往,
HP:0008765,Auditory hallucination,幻听,
HP:0008767,Self-mutilation of tongue and lips due to involuntary movements,不自主运动导致舌头和嘴唇自残,
HP:0008768,Abnormal sexual behavior,异常性行为,
HP:0008770,Obsessive-compulsive trait,强迫特质,
HP:0008771,Aplasia/Hypoplasia of the ear,耳发育缺陷/不全,
HP:0008772,Aplasia/Hypoplasia of the external ear,外耳发育缺陷/不全,
HP:0008773,Aplasia/Hypoplasia of the middle ear,中耳发育缺陷/不全,
HP:0008774,Aplasia/Hypoplasia of the inner ear,内耳发育缺陷/不全,
HP:0008775,Abnormal prostate morphology,前列腺形态异常,
HP:0008776,Abnormal renal artery morphology,肾动脉形态异常,
HP:0008777,Abnormal vocal cord morphology,声带形态异常,
HP:0008780,Congenital bilateral hip dislocation,先天性双侧髋关节脱位,
HP:0008783,Wide proximal femoral metaphysis,股骨近端干骺端增宽,
HP:0008784,Wide capital femoral epiphyses,股骨头骨骺增宽,
HP:0008785,Delayed ossification of pubic rami,耻骨骨化延迟,
HP:0008786,Iliac crest serration,髂嵴锯齿状缘,
HP:0008788,Delayed pubic bone ossification,耻骨骨化延迟,
HP:0008789,Cone-shaped capital femoral epiphysis,锥形股骨头骨骺,
HP:0008794,Dysplastic iliac wing,髂骨翼发育不良,
HP:0008796,Femoral retroversion,股骨后倾,
HP:0008797,Early ossification of capital femoral epiphyses,早发性股骨头骨骺骨化,
HP:0008798,Widened greater sciatic notch,坐骨大切迹变宽,
HP:0008800,Limited hip movement,髋部运动受限,
HP:0008801,Hypoplasia of the lesser trochanter,小转子发育低下,
HP:0008802,Hypoplasia of the femoral head,股骨头发育低下,
HP:0008804,Broad femoral head,股骨头变宽,
HP:0008807,Acetabular dysplasia,髋臼发育不良,
HP:0008808,High iliac wing,高髂骨翼,
HP:0008812,Flattened femoral head,股骨头扁平,
HP:0008817,Aplastic pubic bone,耻骨再生障碍,
HP:0008818,Large iliac wing,大髂骨翼,
HP:0008819,Narrow femoral neck,股骨颈狭窄,
HP:0008820,Absent ossification of capital femoral epiphysis,股骨头骨骺未骨化,
HP:0008821,Hypoplastic inferior ilia,髂骨发育不良,
HP:0008822,Hypoplastic ischiopubic ramus,坐骨耻骨支发育不良,
HP:0008823,Inferior pubic ramus hypoplasia,耻骨下支发育不全,
HP:0008824,Hypoplastic iliac body,髂骨体发育不良,
HP:0008828,Delayed proximal femoral epiphyseal ossification,股骨近端骨骺骨化延迟,
HP:0008829,Delayed femoral head ossification,股骨头骨化延迟,
HP:0008830,Hypoplastic pubic ramus,耻骨支发育不良,
HP:0008833,Irregular acetabular roof,不规则髋臼顶,
HP:0008835,Multicentric femoral head ossification,股骨头多中心骨化,
HP:0008838,Stippled calcification proximal humeral epiphyses,肱骨近端骨骺点状钙化,
HP:0008839,Hypoplastic pelvis,骨盆发育不良,
HP:0008843,Hip osteoarthritis,髋关节骨关节炎,
HP:0008845,Mesomelic short stature,肢中部的身材矮小,
HP:0008846,Severe intrauterine growth retardation,严重的胎儿宫内发育迟缓,
HP:0008848,Moderately short stature,中度身材矮小,
HP:0008850,Severe postnatal growth retardation,严重的产后生长发育迟缓,
HP:0008855,Moderate postnatal growth retardation,中度产后发育迟缓,
HP:0008857,Neonatal short-trunk short stature,新生儿躯干短小,
HP:0008866,Failure to thrive secondary to recurrent infections,反复感染导致发育迟缓,
HP:0008872,Feeding difficulties in infancy,婴儿期喂养困难,
HP:0008873,Disproportionate short-limb short stature,不相称的短肢矮小,
HP:0008883,Mild intrauterine growth retardation,轻度胎儿宫内发育迟缓,
HP:0008887,Adipose tissue loss,脂肪组织丢失,
HP:0008890,Severe short-limb dwarfism,严重的短肢侏儒症,
HP:0008897,Postnatal growth retardation,出生后生长迟缓,
HP:0008905,Rhizomelia,肢体近端缩短,
HP:0008909,Lethal short-limbed short stature,致死性短肢型矮小,
HP:0008915,Childhood-onset truncal obesity,儿童期发病的躯干肥胖,
HP:0008921,Neonatal short-limb short stature,新生儿短肢型矮小,
HP:0008922,Childhood-onset short-trunk short stature,儿童期发病的短躯干矮小,
HP:0008929,Asymmetric short stature,不对称的身材矮小,
HP:0008935,Generalized neonatal hypotonia,全身性新生儿肌张力低下,
HP:0008936,Axial hypotonia,轴向张力减退,
HP:0008940,Generalized lymphadenopathy,全身性淋巴结肿大,
HP:0008942,Acute rhabdomyolysis,急性横纹肌溶解症,
HP:0008944,Distal lower limb amyotrophy,下肢远端肌肉肌萎缩,
HP:0008945,Loss of ability to walk in early childhood,幼儿早期行走能力丧失,
HP:0008946,Pelvic girdle amyotrophy,骨盆带肌萎缩,
HP:0008947,Infantile muscular hypotonia,婴儿型肌张力减退,
HP:0008948,Proximal upper limb amyotrophy,上肢近端肌萎缩,
HP:0008952,Shoulder muscle hypoplasia,肩部肌肉发育不良,
HP:0008953,Pectoralis major hypoplasia,胸大肌发育不良,
HP:0008954,Intrinsic hand muscle atrophy,手部内在肌萎缩,
HP:0008955,Progressive distal muscular atrophy,进行性远端肌萎缩,
HP:0008956,Proximal lower limb amyotrophy,下肢近端肌肉萎缩,
HP:0008959,Distal upper limb muscle weakness,上肢远端肌无力,
HP:0008962,Calf muscle hypoplasia,小腿肌肉发育不良,
HP:0008963,Tibialis muscle weakness,胫骨肌无力,
HP:0008964,Nonprogressive muscular atrophy,非进行性肌萎缩,
HP:0008967,Exercise-induced muscle stiffness,运动诱发的肌肉僵硬,
HP:0008968,Muscle hypertrophy of the lower extremities,下肢肌肥大,
HP:0008969,Leg muscle stiffness,腿部肌肉僵硬,
HP:0008970,Scapulohumeral muscular dystrophy,肩肱肌营养不良,
HP:0008972,Decreased activity of mitochondrial respiratory chain,线粒体呼吸链活性降低,
HP:0008978,Necrotizing myopathy,坏死性肌病,
HP:0008981,Calf muscle hypertrophy,小腿肌肉肥大,
HP:0008984,Neck muscle hypoplasia,颈部肌肉发育不良,
HP:0008985,Increased intramuscular fat,肌内脂肪增多,
HP:0008986,Agenesis of the diaphragm,横膈发育不全,
HP:0008988,Pelvic girdle muscle atrophy,骨盆带肌萎缩,
HP:0008991,Exercise-induced leg cramps,运动诱发腿抽筋,
HP:0008993,Increased intraabdominal fat,腹内脂肪增多,
HP:0008994,Proximal muscle weakness in lower limbs,下肢近端肌无力,
HP:0008997,Proximal muscle weakness in upper limbs,上肢近端肌无力,
HP:0008998,Pectoralis hypoplasia,胸大肌发育不良,
HP:0009002,Loss of truncal subcutaneous adipose tissue,躯干部皮下脂肪组织丢失,
HP:0009003,Increased subcutaneous truncal adipose tissue,躯干部皮下脂肪组织增多,
HP:0009004,Hypoplasia of the musculature,肌肉组织发育不全,
HP:0009005,Weakness of the intrinsic hand muscles,手内在肌无力,
HP:0009007,Biceps hypoplasia,肱二头肌发育不良,
HP:0009011,Hypoplasia of serratus anterior muscle,前锯肌发育不良,
HP:0009013,Congenital absence of gluteal muscles,先天性臀肌缺失,
HP:0009016,Upper limb muscle hypoplasia,上肢肌肉发育不良,
HP:0009017,Loss of gluteal subcutaneous adipose tissue,臀部皮下脂肪组织丢失,
HP:0009019,Progressive loss of facial adipose tissue,进行性面部脂肪组织丢失,
HP:0009020,Exercise-induced muscle fatigue,运动诱发的肌肉疲劳,
HP:0009023,Abdominal wall muscle weakness,腹壁肌无力,
HP:0009025,Increased connective tissue,结缔组织增多,
HP:0009026,Hypoplasia of latissimus dorsi muscle,背阔肌肌发育不良,
HP:0009027,Foot dorsiflexor weakness,足背屈无力,
HP:0009028,Generalized weakness of limb muscles,广泛性四肢肌肉无力,
HP:0009031,Amyotrophy of ankle musculature,踝部肌肉萎缩,
HP:0009037,Segmental spinal muscular atrophy,节段性脊髓性肌萎缩,
HP:0009045,Exercise-induced rhabdomyolysis,运动诱发的横纹肌溶解,
HP:0009046,Difficulty running,跑步困难,
HP:0009049,Peroneal muscle atrophy,腓骨肌萎缩,
HP:0009050,Quadriceps muscle atrophy,股四头肌肌肉萎缩,
HP:0009051,Increased muscle glycogen content,肌糖原含量增加,
HP:0009053,Distal lower limb muscle weakness,下肢远端肌无力,
HP:0009054,Scapuloperoneal myopathy,肩腓肌肌病,
HP:0009055,Generalized limb muscle atrophy,广泛性四肢肌肉萎缩,
HP:0009056,Loss of subcutaneous adipose tissue from upper limbs,上肢皮下脂肪组织丢失,
HP:0009058,Increased muscle lipid content,肌肉脂肪含量增加,
HP:0009059,Congenital generalized lipodystrophy,先天性全身脂肪营养不良,
HP:0009060,Scapular muscle atrophy,肩胛肌萎缩,
HP:0009062,Infantile axial hypotonia,婴儿轴向肌张力减退,
HP:0009063,Progressive distal muscle weakness,进行性远端肌无力,
HP:0009064,Generalized lipodystrophy,全身脂肪营养不良,
HP:0009067,Progressive spinal muscular atrophy,进行性脊髓性肌萎缩,
HP:0009069,Lethal infantile mitochondrial myopathy,致死型婴儿线粒体肌病,
HP:0009071,Inflammatory myopathy,炎症性肌病,
HP:0009072,Decreased Achilles reflex,跟腱反射减弱,
HP:0009073,Progressive proximal muscle weakness,进行性近端肌无力,
HP:0009077,Weakness of long finger extensor muscles,第三指伸肌无力,
HP:0009084,Midline notch of upper alveolar ridge,上牙床中线缺口,
HP:0009085,Alveolar ridge overgrowth,牙槽嵴增生,
HP:0009087,Posteriorly placed tongue,舌后坠,
HP:0009088,Speech articulation difficulties,言语表达困难,
HP:0009092,Progressive alveolar ridge hypertrophy,进行性牙槽嵴肥大,
HP:0009094,Cleft lower alveolar ridge,下牙槽嵴裂,
HP:0009098,Chronic oral candidiasis,慢性口腔念珠菌病,
HP:0009099,Median cleft palate,正中腭裂,
HP:0009100,Thick anterior alveolar ridges,前牙槽嵴厚,
HP:0009101,Submucous cleft lip,粘膜下唇裂,
HP:0009102,Anterior open-bite malocclusion,前牙开咬错位咬合畸形,
HP:0009103,Aplasia/Hypoplasia involving the pelvis,骨盆骨发育不良/发育不全,
HP:0009104,Aplasia/Hypoplasia of the pubic bone,耻骨发育不良/发育不全,
HP:0009105,Abnormal ossification of the pubic bone,耻骨骨化异常,
HP:0009106,Abnormal pelvis bone ossification,骨盆骨骨化异常,
HP:0009107,Abnormal ossification involving the femoral head and neck,股骨颈和股骨头骨化异常,
HP:0009108,Aplasia/Hypoplasia involving the femoral head and neck,股骨头和股骨颈发育不良/发育不全,
HP:0009109,Denervation of the diaphragm,膈肌去神经支配,
HP:0009110,Diaphragmatic eventration,膈肌缺陷,
HP:0009112,Aplasia of the left hemidiaphragm,左侧膈肌发育不良,
HP:0009113,Diaphragmatic weakness,膈肌无力,
HP:0009115,Aplasia/hypoplasia involving the skeleton,骨骼发育不良/发育不全,
HP:0009116,Aplasia/Hypoplasia involving bones of the skull,颅骨发育不良/发育不全,
HP:0009117,Aplasia/Hypoplasia of the maxilla,上颌骨发育不良/发育不全,
HP:0009118,Aplasia/Hypoplasia of the mandible,下颌骨发育不良/发育不全,
HP:0009119,Aplasia/Hypoplasia of the frontal sinuses,额窦发育不良/发育不全,
HP:0009120,Aplasia/Hypoplasia involving the sinuses,鼻窦发育不良/发育不全,
HP:0009121,Abnormal axial skeleton morphology,中轴骨骼形态异常,
HP:0009122,Aplasia/hypoplasia affecting bones of the axial skeleton,中轴骨架骨发育不良/发育不全,
HP:0009123,Mixed hypo- and hyperpigmentation of the skin,皮肤色素减退和色素沉着共存,
HP:0009124,Abnormal adipose tissue morphology,脂肪组织形态异常,
HP:0009125,Lipodystrophy,脂肪营养不良,
HP:0009126,Increased adipose tissue,脂肪组织增多,
HP:0009127,Abnormality of the musculature of the limbs,四肢肌肉异常,
HP:0009128,Aplasia/Hypoplasia involving the musculature of the extremities,四肢肌肉发育不良/发育不全,
HP:0009129,Upper limb amyotrophy,上肢肌萎缩,
HP:0009130,Hand muscle atrophy,手部肌肉萎缩,
HP:0009131,Abnormality of the musculature of the thorax,胸肌组织异常,
HP:0009132,Abnormal tarsal bone mineral density,跗骨骨密度异常,
HP:0009134,Osteolysis involving bones of the feet,脚骨骨质溶解,
HP:0009136,Duplication involving bones of the feet,脚骨骼重复,
HP:0009138,Synostosis involving bones of the lower limbs,下肢骨骼骨性融合,
HP:0009139,Osteolysis involving bones of the lower limbs,下肢骨骼骨质溶解,
HP:0009140,Synostosis involving bones of the feet,足部骨骼骨性融合,
