HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）,标准名称（中文）,定义（中文）,精确同义词（中文）,相关同义词（中文）,注释（中文）
HP:0004216,Osteolytic defects of the phalanges of the 5th finger,Dissolution or degeneration of bone tissue of the phalanges of the 5th finger.,,Lytic defects of the phalanges of the little finger,,HP:0004213; HP:0009771,HP:0009170; HP:0009230; HP:0009242,否,,否,,,UMLS:C4021677,第五指指骨溶骨性缺陷,,小指掌骨溶骨缺陷,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004218,Symphalangism of the 5th finger,Fusion of two or more bones of the 5th finger.,,Fifth finger symphalangism; Fused pinkie finger bones; Symphalagism of the little finger; Fused little finger bones; Fused pinky finger bones,,HP:0009700; HP:0004213; HP:0009773,HP:0009178; HP:0009232,否,,否,,,UMLS:C4021676,第五指指关节融合,,五指并指症; 融合的小指骨; 小指并指畸形; 并骨小指骨; 融合的小指骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004219,Abnormality of the middle phalanx of the 5th finger,,,Abnormality of the middle bone of pinky finger; Abnormality of the middle bone of little finger; Abnormality of the middle bone of pinkie finger,,HP:0004213,HP:0004224; HP:0009161; HP:0009168; HP:0009169; HP:0009170; HP:0009173; HP:0009175; HP:0009178; HP:0009182; HP:0009989,否,,否,,,UMLS:C4025406,第五指中节指骨异常,,小指中节骨异常; 小指中节骨异常; 小指中节骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004220,Short middle phalanx of the 5th finger,Hypoplastic/small middle phalanx of the fifth finger.,"Brachymesophalangia-V, a short and broad middle phalanx of the fifth digit, is the most common of all skeletal anomalies of the hand. When this feature appears alone, it is clinically known as brachydactyly type A3 (BDA3).",Short middle bone of the pinky finger; Brachymesophalangy V (finger); Hypoplastic/small middle phalanx of the 5th finger; 5th finger middle phalangeal hypoplasia; Short middle bone of the pinkie finger; Hypoplastic/small middle phalanx of the little finger; Short middle phalanx of the little finger; Short middle bone of the little finger; Fifth finger mid-phalanx hypoplasia; Hypoplastic fifth finger middle phalanx; Type A3 brachydactyly; Brachymesophalangism V; Hypoplastic middle phalanx of the 5th finger,,HP:0009370; HP:0005819; HP:0009237; HP:0009161,,是,HP:0001243; HP:0003069; HP:0004221; HP:0005649; HP:0005706; HP:0005734; HP:0005813,否,,,UMLS:C1834060,第五指中节指骨短,,小指中节骨; 第五指短指骨症候群; 第五指中节指骨发育不全/小型化; 第五指中节指骨发育不全; 小指中间节骨; 小指中节指骨发育不全/较小; 小指中节短骨; 小指中间短节骨; 第五指中节指骨发育不全; 第五指中节指骨发育不全; A3型并指（趾）症候群或多指（趾）短指（趾）畸形综合征; 第五型短指骨综合征; 第五指中节指骨发育不全,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,第五指中节短宽指骨症，是手部所有骨骼异常中最常见的。当这一特征单独出现时，在临床上被称为短指Ⅲ型（A3型）。
HP:0004222,Cone-shaped epiphysis of the distal phalanx of the 5th finger,"A cone-shaped appearance of the epiphysis of the distal phalanx of the little finger of the hand, producing a 'ball-in-a-socket' appearance. This epiphysis is located at the proximal end of the phalanx and is normally nearly flat. The related entity 'angel-shaped' epiphysis refers to a pronounced cone-shaped epiphysis in combination with a pseudoepiphysis at the distal end of the phalanx.",,Cone-shaped end part of the outermost pinkie finger bone; Cone-shaped epiphysis of the distal phalanx of the little finger; Cone-shaped end part of the outermost pinky finger bone; Cone-shaped end part of the outermost little finger bone,,HP:0009384; HP:0009198; HP:0010248,,是,,否,,,UMLS:C4021675,第五指末节指骨锥形骨骺,,粉红色手指末节锥形端骨质结构; 小指远节指骨锥形干骺端; 粉红指末节锥形端骨质结构; 锥形末端小指末节骨端,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004223,Ivory epiphysis of the distal phalanx of the 5th finger,"Sclerosis of the epiphysis of the distal phalanx of the little finger, leading to an increased degree of radiopacity (white or ivory appearance) in X-rays.",,Increased bone density of end part of the outermost pinkie finger bone; Ivory epiphysis of the distal phalanx of the little finger; Increased bone density of end part of the outermost little finger bone; Increased bone density of end part of the outermost pinky finger bone; Ivory epiphysis of the terminal phalanx of the little finger,,HP:0009198; HP:0010252; HP:0009388,,是,HP:0004229,否,,,UMLS:C4021674,第五指的末节指骨乳白色骨骺,,小指远节指骨密度增高; 小指远节指骨象牙软骨端; 小指末节指骨远端骨密度增高; 小指末节尺侧骨密度增高; 小指远节指骨软骨帽 ivory期,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004224,Abnormality of the epiphysis of the middle phalanx of the 5th finger,Abnormality of the epiphysis of the middle phalanx of the fifth finger. This epiphysis is located on the proximal end of the phalanx.,,Abnormality of the end part of middle pinky finger bone; Abnormality of the end part of middle little finger bone; Abnormality of the end part of middle pinkie finger bone,,HP:0010244; HP:0009152; HP:0004219,HP:0009203; HP:0009204; HP:0009205; HP:0009206; HP:0009207; HP:0009208; HP:0009209; HP:0009210; HP:0009211; HP:0009212; HP:0009213,否,,否,,,UMLS:C4025405,第五指中节指骨骨骺异常,,中指末节指骨异常; 中指远端指骨异常; 中指末节指骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004225,Abnormality of the distal phalanx of the 5th finger,Abnormality of the distal phalanx of the 5th (little) finger.,,Abnormality of the outermost little finger bone; Abnormality of the outermost pinky finger bone; Abnormality of the distal phalanx of the little finger; Abnormality of the terminal phalanx of the little finger; Abnormality of the outermost pinkie finger bone,,HP:0004213,HP:0004226; HP:0005769; HP:0009198; HP:0009239; HP:0009240; HP:0009241; HP:0009242; HP:0009243; HP:0009244; HP:0009245; HP:0009988,否,,否,,,UMLS:C4021673,第五指末节指骨异常,,小指远侧指骨异常; 粉红手指外侧末节指骨异常; 小指远节指骨异常; 小指远节指骨异常; 粉红色小指远端指骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004226,Curved distal phalanx of the 5th finger,Curved appearance of the distal phalanx of the 5th (little) finger.,,Curved outermost pinky finger bone; Curved outermost little finger bone; Curved outermost pinkie finger bone; Curved terminal phalanx of the little finger,,HP:0004214; HP:0004225; HP:0009838,,是,,否,,,UMLS:C4021672,第五指末节指骨弯曲,,外侧钩骨; 钩状骨（钩状指骨）; 外侧钩骨（小指末节掌侧曲面的骨头）; 小指屈曲的远侧指骨端,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004227,Short distal phalanx of the 5th finger,Hypoplastic/small distal phalanx of the fifth finger.,,Short outermost pinky finger bone; Short distal phalanx of the fifth finger; Short outermost pinkie finger bone; Short outermost little finger bone; Hypoplastic/small terminal phalanx of the little finger; Fifth digit distal phalangeal hypoplasia; Brachytelophalangism V,,HP:0009239; HP:0009237; HP:0009882,,是,HP:0006171,否,,,UMLS:C1836674,第五指末节指骨短,,小指末节指骨; 第五指远节指骨短小; 小指末节指骨; 小指远侧节骨; 小指末节指骨发育不全/较小; 第五指远端指骨发育不全; 短指伴趾骨短小症V型,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004230,Subluxation of the proximal interphalangeal joint of the little finger,A partial dislocation of the proximal interphalangeal joint of the little finger.,,Partially dislocated innermost hinge joint of pinkie finger; Partially dislocated innermost hinge joint of pinky finger; Partially dislocated innermost hinge joint of little finger,,HP:0004207,,是,,否,,,UMLS:C4025404,第五指近端指间关节半脱位,,小指近侧指间部分脱位关节; 小指近侧指间部分脱位关节; 小指内侧掌指关节部分脱位,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004231,Carpal bone aplasia,Congenital absence of a carpal bone.,Radiographically difficult to distinguish between absent ossification of a carpal bone.,Absent carpal ossification center; Absent carpal bones; Absent carpal bone; Aplastic carpal bone; Absent carpal ossification centre,,HP:0006502,HP:0011835,否,HP:0005056; HP:0006020; HP:0006084,否,,,UMLS:C1836219; UMLS:C4280537,腕骨发育不全,,腕骨化骨中心未出现; 腕骨缺如; 舟骨缺如; 骨髓衰竭性腕骨病变; 腕骨化骨中心未出现,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,放射片上难以区分腕骨化骨缺失与否
HP:0004232,Accessory carpal bones,The presence of more than the normal number of carpal bones.,,Supernumerary carpal bones,,HP:0004275; HP:0001191,HP:0004244; HP:0004249,否,,否,,,SNOMEDCT_US:20136007; SNOMEDCT_US:9181003; UMLS:C0265609,副腕骨,,额外腕骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004233,Advanced ossification of carpal bones,Ossification of carpal bones at an abnormally early age.,,Precociously ossified carpal bones; Advanced carpal ossification; Accelerated carpal bone maturation; Advanced carpal bone age,,HP:0006257,,是,HP:0006104,否,,,UMLS:C1849292; UMLS:C4280536,腕骨骨化过早,,过早骨化的腕骨; 腕骨早期钙化; 腕骨成熟加速; 腕骨年龄提前成熟,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004234,Bone-in-a-bone appearance of carpal bones,The bone-in-bone sign is a radiographic finding produced by increased sclerosis (abnormally dense bone) occurring intermittently with zones of relatively normal bone density. This term should be used to describe such a finding in the carpal bones.,,,,HP:0009164; HP:0011001,,是,,否,,,UMLS:C4025403,腕骨骨中骨外观,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004235,Comma-shaped carpal bones,,,,,HP:0006014,HP:0004245,否,,否,,,UMLS:C4025402,逗点状腕骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004236,Irregular carpal bones,Carpal bones with irregular or fragmented margins.,,,,HP:0006014,,是,,否,,,UMLS:C4025401,不规则腕骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004237,Large carpal bones,Increased size of carpal bones.,,Large carpals,,HP:0006014,HP:0004242; HP:0004260; HP:0004263,否,,否,,,UMLS:C4021671,大腕骨,,大型腕骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004238,Lytic defects of carpal bones,,,,,HP:0001495,,是,,否,,,UMLS:C4025400,腕骨溶骨缺陷,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004239,Proximally placed carpal bones,,,,,HP:0001191,HP:0004250,否,,否,,,UMLS:C4025399,近置腕骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004240,Sclerotic foci within carpal bones,,,,,HP:0009164; HP:0004054,,是,,否,,,UMLS:C4025398; UMLS:C4280535,腕骨内硬化灶,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004241,Stippled calcification in carpal bones,Point-shaped (punctate) calcifications affecting the carpal bones.,,Punctate calcifications of carpals,,HP:0009164; HP:0004054,,是,HP:0006177,否,,,UMLS:C1844846,腕骨点状钙化,,腕骨点状钙化,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004242,Broad carpal bones,,,Wide carpal bones,,HP:0004237,HP:0004261,否,,否,,,UMLS:C3554618,腕骨变宽,,腕骨粗大,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004243,Abnormal scaphoid morphology,Any structural anomaly of the scaphoid. The scaphoid is the largest bone of the proximal row of carpal bones. It is located on the same side as the thumb.,,Abnormality of the scaphoid,,HP:0001191,HP:0004244; HP:0004245; HP:0004247; HP:0006202,否,,否,,,UMLS:C4025397,舟骨异常,,舟骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004244,Accessory scaphoid,"Variations in the development of carpal bones are uncommon, with the scaphoid bone typically forming from the fusion of the os centrale carpi and the radial chondrification center during embryogenesis. A bipartite scaphoid is a rare congenital disorder that occurs when these ossification centers fail to fuse.",,Bipartite scaphoid,,HP:0004232; HP:0004243,,是,,否,,,UMLS:C4025396,副舟骨,,双部分舟状骨骨折,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004245,Comma-shaped scaphoid,,,,,HP:0004235; HP:0004243,,是,,否,,,UMLS:C4025395,逗号状舟状骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004246,Delayed ossification of the scaphoid,Formation of bone tissue of scaphoid is less than expected for age.,,Delayed maturation of the scaphoid,,HP:0001216,,是,,否,,,UMLS:C4021670,舟骨骨化延迟,,舟骨延迟成熟,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004247,Small scaphoid,Underdevelopment of the scaphoid.,,,,HP:0001498; HP:0004243,,是,,否,,,UMLS:C4025394,舟状骨小,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004248,Abnormal lunate bone morphology,"Any structural anomaly of the lunate bone, which is located in the proximal row of carpal bones.",,,,HP:0001191,HP:0004249; HP:0004250; HP:0004251; HP:0010889,否,,否,,,UMLS:C4025393,月骨异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004249,Accessory lunate,,,,,HP:0004232; HP:0004248,,是,,否,,,UMLS:C4025392,副月骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004250,Proximally placed lunate,,,,,HP:0004239; HP:0004248,,是,,否,,,UMLS:C4025391,近置月骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004251,Lunate-triquetral fusion,Osseous fusion of the lunate and triquetrum.,Synostosis of the carpal bones is a rare congenital condition. Lunate and triquetrum are the bones more commonly involved.,Lunotriquetral synostosis,,HP:0004248,,是,,否,,,UMLS:C1867930,月骨-三角骨融合,,月三角骨融合症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,腕骨骨化中心融合是一种罕见的先天性状况。月状骨和三角骨更常受到影响。
HP:0004252,Abnormal trapezium morphology,"An anomaly of the trapezium, which is the carpal bone located at the base of the thumb.",,,,HP:0001191,HP:0004253; HP:0004255,否,,否,,,UMLS:C4025390,大多角骨异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004253,Absent trapezium,,,Absent trapezium bone,,HP:0004252; HP:0006257,,是,,否,,,UMLS:C1847190,大多角骨缺如,,无舟状骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004254,Delayed ossification of the trapezium,Formation of bone tissue of trapezium is less than expected for age.,,Delayed maturation of the trapezium,,HP:0001216,,是,,否,,,UMLS:C4021669,斜方骨骨化延迟,,三角骨发育延迟,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004255,Small trapezium,Underdevelopment of the trapezium.,,,,HP:0004252; HP:0001498,,是,,否,,,UMLS:C4025389,斜方骨小,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004256,Abnormal trapezoid bone morphology,"A structural anomaly of the trapezoid bone, which is the smallest bone in the distal row of carpal bones.",,Abnormality of the trapezoid bone,,HP:0001191,HP:0004258; HP:0006106,否,,否,,,UMLS:C4025388,小多角骨异常,,三角骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004257,Delayed ossification of the trapezoid bone,Formation of bone tissue of trapezoid is less than expected for age.,,Delayed maturation of the trapezoid bone,,HP:0001216,,是,,否,,,UMLS:C4021668,棱形骨骨化延迟,,舟骨延迟成熟,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004258,Small trapezoid bone,Underdevelopment of the trapezoid.,,,,HP:0001498; HP:0004256,,是,,否,,,UMLS:C4025387,斜方骨小,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004259,Abnormal hamate bone morphology,"A structural anomaly of the hamate bone, which is the ulnar-most bone located within the distal row of carpal bones, neighboured by the capitate bone radially.",,Abnormality of the hamate bone,,HP:0001191,HP:0001241; HP:0004260,否,,否,,,UMLS:C4025386,钩骨异常,,钩骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004260,Large hamate bone,,,Large unciform bone,,HP:0004259; HP:0004237,HP:0004261,否,,否,,,UMLS:C4025385,大钩骨,,钩骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004261,Wide hamate bone,,,Broad hamate bone; Wide unciform bone,,HP:0004260; HP:0004242,,是,,否,,,UMLS:C4021667,钩骨增宽,,宽大的钩骨; 宽阔的楔状骨,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004262,Abnormal capitate bone morphology,"A structural anomaly of the capitate bone, which is the largest of the carpal bones in the human hand.",,Abnormality of the capitate bone,,HP:0001191,HP:0001241; HP:0004263,否,,否,,,UMLS:C4025384,头状骨异常,,舟骨异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004263,Large capitate bone,,,,,HP:0004237; HP:0004262,,是,,否,,,UMLS:C4025383,大头状骨,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004264,Narrow carpal joint spaces,,,Decreased carpal joint angles,,HP:0001191,,是,HP:0004265,否,,,UMLS:C4021666,腕关节间隙狭窄,,腕关节角度减小,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004267,Narrow small joints of the hand,,,Narrow small joints of the hand,,HP:0006261,,是,,否,,,UMLS:C4025382,手的小关节狭窄,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004268,Osteoarthritis of the small joints of the hand,,,,,HP:0006261; HP:0002758,HP:0006226; HP:0006233,否,,否,,,UMLS:C4025381,手的小关节的骨关节炎,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004269,Subluxation of the small joints of the hand,A partial dislocation of some or all of the small joints of the hand.,,Partial dislocation of small joints of hand,,HP:0006261,,是,,否,,,UMLS:C4025380,手的小关节脱位,,手小关节半脱位,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004271,Cortical thickening of hand bones,,,,,HP:0100039; HP:0005926,,是,,否,,,UMLS:C4025379,手骨骨皮质增厚,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004272,Cortical thinning of hand bones,,,,,HP:0002753; HP:0005926,,是,,否,,,UMLS:C4025378,手骨骨皮质变薄,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004273,Cupped metaphyses of hand bones,,,Cupped metaphysis of hand bones; Cupped wide portion of hand bones,,HP:0005923,,是,,否,,,UMLS:C4025377,手骨杯状干骺端,,手骨掌状元体增大症; 掌骨膨大部,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004274,Deficient ossification of hand bones,,,,Deficient maturation of hand bones,HP:0010660,,是,,否,,,UMLS:C4025376; UMLS:C4280534,手骨骨化缺陷,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,手骨发育不全,
HP:0004275,Duplication of hand bones,,,Duplication of hand bones,,HP:0005922; HP:0009142,HP:0004232; HP:0009997,否,,否,,,UMLS:C3276746,手骨重复,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004276,Exostoses of hand bones,Abnormal formation of new bone on the surface of a bone of the hand.,,,,HP:0100777; HP:0005922,,是,,否,,,UMLS:C4025375,手骨外生骨疣,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004277,Fractured hand bones,,,Broken hand bones; Fractured hand bones,,HP:0005922,,是,HP:0041232,否,,,SNOMEDCT_US:20511007; UMLS:C0435632,手骨骨折,,手骨骨折; 手骨骨折,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004278,Synostosis involving bones of the hand,An abnormal union between bones or parts of bones of the hand.,,,Fused hand bones,HP:0100238; HP:0005922,HP:0009700; HP:0009701; HP:0009702,否,,否,,,UMLS:C4020831,累及手骨的骨融合,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,并骨手骨,
HP:0004279,Short palm,Short palm.,"This term refers to a developmental finding resulting in short palms. This term is reserved for individuals with shortening of all four metacarpals 2-5. Individuals with fewer than four shortened metacarpals (in a eudactylous hand, the metacarpals of F2-5) should be coded as Metacarpal, short. See the entry for Hand, small for a discussion of this finding. ""Short hand"" should not be used as it is a bundle of two readily separable terms, Fingers, short (which, as noted above, can itself be a bundled term) and Palm, short.",Short palm,Short hands; Hypoplastic hands; Short palms,HP:0005927; HP:0100871,,是,HP:0001165,否,,,UMLS:C1843108,短掌,,,短掌症; 发育不全的手; 短掌症,此术语指一种发育异常，表现为手掌短小。该术语用于所有四支掌骨（第2至第5掌骨）均缩短的个体。对于少于四支掌骨缩短（在正常五指手中，为第2至第5掌骨）的个体应编码为掌骨缩短。参见“手小”条目以了解对此发现的讨论。“短手”不应使用，因为它是由两个易于区分的术语组成，即短指（如上所述，本身也可以是一个组合术语）和手掌短。
HP:0004280,Irregular ossification of hand bones,,,,Irregular maturation of hand bones,HP:0010660,HP:0004291,否,,否,,,UMLS:C4025374,手骨不规则骨化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,手骨发育不规则,
HP:0004281,Irregular sclerosis of hand bones,,,,,HP:0004054,HP:0004286; HP:0004289; HP:0004290,否,,否,,,UMLS:C4025373,手骨不规则硬化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004283,Narrow palm,"For children from birth to 4 years of age, the palm width is more than 2 SD below the mean; for children from 4 to 16 years of age the palm width is below the 5th centile; or, the width of the palm appears disproportionately narrow for its length.","Palm width is measured across the palm at the level of the MCPJ (radial aspect of the F2 MCPJ to the ulnar aspect of the F5 MCPJ). Norms are specified in [Hall et al., 2007]. Caution is advised for the subjective assessment as the breadth may be in the normal range with disproportionately increased length, which appears narrow. This finding may be associated with elongated/slender limbs in general, but that finding does not bear on the coding of this feature. Proximal narrowing may indicate small thenar or hypothenar eminences. This term replaces ""narrow hands"" as that term may leave the impression that it includes the thumb, which it does not.",Narrow palm; Narrow hand,Narrow hands,HP:0100871,,是,,否,,,UMLS:C1857632,手掌狭窄,,掌宽狭窄; 手指狭窄症,窄手,掌宽是指在掌指关节（第2掌指关节桡侧至第5掌指关节尺侧）水平测量手掌的宽度。正常值参见[Hall等，2007]。主观评估时需谨慎，因为宽度可能在正常范围内，但长度不成比例地增加，看起来较窄。此发现可能与整体细长的手臂有关，但这不影响对此特征的编码。近端变窄可能表明大鱼际或小鱼际不明显。该术语取代了“狭小手掌”这一术语，以避免产生包括拇指在内的误解（实际上并不包括）。
HP:0004284,Notched hand bones,,,Notched hand bones,,HP:0005922,,是,,否,,,UMLS:C4025372,手骨头缺口,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004285,Overmodelled hand bones,,,,,HP:0005922,,是,,否,,,UMLS:C4025371,手骨过度成形,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004286,Patchy sclerosis of hand bones,,,Uneven increase in bone density in hand bones,,HP:0004281,HP:0009772,否,,否,,,UMLS:C4025370,手骨斑片状硬化,,手骨密度不均增厚,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004287,Pointed hand bones,,,Pointed hand bones,,HP:0005922,,是,,否,,,UMLS:C4025369,尖头手骨,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004288,Pseudoepiphyses of hand bones,,,,,HP:0010584; HP:0005924,HP:0009193; HP:0010235,否,,否,,,UMLS:C4025368,手骨假骨骺,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0004289,Sclerotic foci in hand bones,,,,,HP:0004281,,是,,否,,,UMLS:C4025367,手骨硬化灶,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
